DT_GERACAO,HH_GERACAO,ANO_ELEICAO,NR_TURNO,DS_ELEICAO,SG_UF,SG_UE,CODIGO_CARGO,NUM_CANDIDATO,SQ_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_CARGO,COD_SIT_CAND_SUPERIOR,DESC_SIT_CAND_SUPERIOR,CODIGO_SIT_CANDIDATO,DESC_SIT_CANDIDATO,CODIGO_SIT_CAND_TOT,DESC_SIT_CAND_TOT,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,SEQUENCIAL_LEGENDA,NOME_COLIGACAO,COMPOSICAO_LEGENDA,TOTAL_VOTOS,CD_GENERO,DS_GENERO
30/4/2014,16:31:48,1945,1,ELEICOES 1945,PE,BR,1,-1,-1,EURICO GASPAR DUTRA,GENERAL EURICO GASPAR DUTRA,PRESIDENTE,-1,,2,DEFERIDO,1,ELEITO,-1,PSD,PARTIDO SOCIAL DEMOCRATICO,-1,,PRP / PSD,126804.0,2.0,MASCULINO
30/4/2014,16:31:48,1945,1,ELEICOES 1945,PE,BR,1,-1,-1,EDUARDO GOMES,MAJOR BRIGADEIRO EDUARDO GOMES,PRESIDENTE,-1,,2,DEFERIDO,4,NAO ELEITO,-1,UDN,UNIAO DEMOCRATICA NACIONAL,-1,,UDN / PR / PL / PRP,93158.0,2.0,MASCULINO
30/4/2014,16:31:48,1945,1,ELEICOES 1945,PE,BR,1,-1,-1,MARIO ROLLIM TELLES,ROLLIM TELLES,PRESIDENTE,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PAN,PARTIDO AGRARIO NACIONAL,-1,,PAN,8.0,2.0,MASCULINO
30/4/2014,16:31:48,1945,1,ELEICOES 1945,PE,BR,1,-1,-1,YEDDO FIUZA,YEDDO FIUZA,PRESIDENTE,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PCB,PARTIDO COMUNISTA DO BRASIL,-1,,PCB,43073.0,,FEMININO
30/4/2014,18:26:22,1945,1,ELEICOES 1945,PE,PE,5,-1,-1,AGOSTINHO DIAS DE OLIVEIRA,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PCB,PARTIDO COMUNISTA DO BRASIL,-1,,PCB,48239.0,2.0,MASCULINO
30/4/2014,18:26:22,1945,1,ELEICOES 1945,PE,PE,5,-1,-1,ANTONIO DE NOVAIS FILHO,,SENADOR,-1,,2,DEFERIDO,1,ELEITO,-1,PSD,PARTIDO SOCIAL DEMOCRATICO,-1,,PSD,118918.0,2.0,MASCULINO
30/4/2014,18:26:22,1945,1,ELEICOES 1945,PE,PE,5,-1,-1,DORGIVAL TORRES GALINDO,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PR,PARTIDO REPUBLICANO,-1,,PR,5490.0,2.0,MASCULINO
30/4/2014,18:26:22,1945,1,ELEICOES 1945,PE,PE,5,-1,-1,ETELVINO LINS DE ALBUQUERQUE,,SENADOR,-1,,2,DEFERIDO,1,ELEITO,-1,PSD,PARTIDO SOCIAL DEMOCRATICO,-1,,PSD,111154.0,2.0,MASCULINO
30/4/2014,18:26:22,1945,1,ELEICOES 1945,PE,PE,5,-1,-1,GETULIO DORNELLES VARGAS,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,,PTB,7095.0,2.0,MASCULINO
30/4/2014,18:26:22,1945,1,ELEICOES 1945,PE,PE,5,-1,-1,JOSE SEGADAS VIANA,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,,PTB,1939.0,2.0,MASCULINO
30/4/2014,18:26:22,1945,1,ELEICOES 1945,PE,PE,5,-1,-1,JULIO CELSO DE ALBUQUERQUE BELO,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,UDN,UNIAO DEMOCRATICA NACIONAL,-1,,UDN,65627.0,2.0,MASCULINO
30/4/2014,18:26:22,1945,1,ELEICOES 1945,PE,PE,5,-1,-1,LUIZ CARLOS PRESTES,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PCB,PARTIDO COMUNISTA DO BRASIL,-1,,PCB,49244.0,2.0,MASCULINO
30/4/2014,18:26:22,1945,1,ELEICOES 1945,PE,PE,5,-1,-1,NADIR TOLEDO CABRAL,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PR,PARTIDO REPUBLICANO,-1,,PR,11561.0,4.0,FEMININO
30/4/2014,18:26:22,1945,1,ELEICOES 1945,PE,PE,5,-1,-1,PADRE FELIX PIMENTEL BARRETO,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,UDN,UNIAO DEMOCRATICA NACIONAL,-1,,UDN,76164.0,,FEMININO
30/4/2014,18:26:22,1945,1,ELEICOES 1945,PE,PE,6,-1,-1,ABGAR SORIANO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PR,PARTIDO REPUBLICANO,-1,,PR,147.0,4.0,FEMININO
30/4/2014,18:26:22,1945,1,ELEICOES 1945,PE,PE,6,-1,-1,ABILIO JOSE DE FRANCA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,,PTB,168.0,2.0,MASCULINO
30/4/2014,18:26:22,1945,1,ELEICOES 1945,PE,PE,6,-1,-1,ADALBERTO DE AQUINO FONSECA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,,PTB,46.0,2.0,MASCULINO
30/4/2014,18:26:22,1945,1,ELEICOES 1945,PE,PE,6,-1,-1,ADALGISA RODRIGUES CAVALCANTI,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PCB,PARTIDO COMUNISTA DO BRASIL,-1,,PCB,849.0,4.0,FEMININO
30/4/2014,18:26:22,1945,1,ELEICOES 1945,PE,PE,6,-1,-1,AGAMENON SERGIO DE GODOI MAGALHAES,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,PSD,PARTIDO SOCIAL DEMOCRATICO,-1,,PSD,13532.0,2.0,MASCULINO
30/4/2014,18:26:22,1945,1,ELEICOES 1945,PE,PE,6,-1,-1,AGEU DE GODOI MAGALHAES,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PSD,PARTIDO SOCIAL DEMOCRATICO,-1,,PSD,2601.0,2.0,MASCULINO
30/4/2014,18:26:22,1945,1,ELEICOES 1945,PE,PE,6,-1,-1,AGOSTINHO DIAS DE OLIVEIRA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,PCB,PARTIDO COMUNISTA DO BRASIL,-1,,PCB,5160.0,2.0,MASCULINO
30/4/2014,18:26:22,1945,1,ELEICOES 1945,PE,PE,6,-1,-1,ALCEDO DE MORAIS COUTINHO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PCB,PARTIDO COMUNISTA DO BRASIL,-1,,PCB,2917.0,2.0,MASCULINO
30/4/2014,18:26:22,1945,1,ELEICOES 1945,PE,PE,6,-1,-1,ALDE FEIJO SAMPAIO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,UDN,UNIAO DEMOCRATICA NACIONAL,-1,,UDN,7243.0,2.0,MASCULINO
30/4/2014,18:26:22,1945,1,ELEICOES 1945,PE,PE,6,-1,-1,ALEXANDRE JOSE BARBOSA LIMA SOBRINHO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,PSD,PARTIDO SOCIAL DEMOCRATICO,-1,,PSD,5706.0,2.0,MASCULINO
30/4/2014,18:26:22,1945,1,ELEICOES 1945,PE,PE,6,-1,-1,ALFREDO DE ARRUDA CAMARA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,PDC,PARTIDO DEMOCRATA CRISTAO,-1,,PDC,8406.0,2.0,MASCULINO
30/4/2014,18:26:22,1945,1,ELEICOES 1945,PE,PE,6,-1,-1,ALFREDO RICHMOND,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PCB,PARTIDO COMUNISTA DO BRASIL,-1,,PCB,554.0,2.0,MASCULINO
30/4/2014,18:26:22,1945,1,ELEICOES 1945,PE,PE,6,-1,-1,ALVARO DE BARROS LINS,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,UDN,UNIAO DEMOCRATICA NACIONAL,-1,,UDN,2600.0,2.0,MASCULINO
30/4/2014,18:26:22,1945,1,ELEICOES 1945,PE,PE,6,-1,-1,ANIBAL GONCALVES FERNANDES,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,UDN,UNIAO DEMOCRATICA NACIONAL,-1,,UDN,1125.0,2.0,MASCULINO
30/4/2014,18:26:22,1945,1,ELEICOES 1945,PE,PE,6,-1,-1,ANTONIO ALVES PIMENTEL,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PDC,PARTIDO DEMOCRATA CRISTAO,-1,,PDC,295.0,2.0,MASCULINO
