DT_GERACAO,HH_GERACAO,ANO_ELEICAO,NR_TURNO,DS_ELEICAO,SG_UF,SG_UE,CODIGO_CARGO,NUM_CANDIDATO,SQ_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_CARGO,COD_SIT_CAND_SUPERIOR,DESC_SIT_CAND_SUPERIOR,CODIGO_SIT_CANDIDATO,DESC_SIT_CANDIDATO,CODIGO_SIT_CAND_TOT,DESC_SIT_CAND_TOT,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,SEQUENCIAL_LEGENDA,NOME_COLIGACAO,COMPOSICAO_LEGENDA,TOTAL_VOTOS,CD_GENERO,DS_GENERO
29/4/2014,12:50:24,1947,1,ELEICOES 1947,CE,CE,3,-1,-1,FAUSTINO DE ALBUQUERQUE E SOUZA,,GOVERNADOR,-1,,2,DEFERIDO,1,ELEITO,-1,UDN,UNIAO DEMOCRATICA NACIONAL,-1,,UDN,147911,2.0,MASCULINO
29/4/2014,12:50:24,1947,1,ELEICOES 1947,CE,CE,3,-1,-1,ONOFRE MUNIZ GOMES DE LIMA,,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PSD,PARTIDO SOCIAL DEMOCRATICO,-1,,PSD,124852,2.0,MASCULINO
29/4/2014,12:50:24,1947,1,ELEICOES 1947,CE,CE,5,-1,-1,CESAR CALS DE OLIVEIRA,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,,PTB,18867,2.0,MASCULINO
29/4/2014,12:50:24,1947,1,ELEICOES 1947,CE,CE,5,-1,-1,FRANCISCO DE MENEZES PIMENTEL,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PSD,PARTIDO SOCIAL DEMOCRATICO,-1,,PSD,111323,2.0,MASCULINO
29/4/2014,12:50:24,1947,1,ELEICOES 1947,CE,CE,5,-1,-1,MANUEL DO NASCIMENTO FERNANDES TAVORA,,SENADOR,-1,,2,DEFERIDO,1,ELEITO,-1,UDN,UNIAO DEMOCRATICA NACIONAL,-1,,UDN,135225,2.0,MASCULINO
29/4/2014,12:50:24,1947,1,ELEICOES 1947,CE,CE,7,-1,-1,ADAIL BARRETO CAVALCANTE,,DEPUTADO ESTADUAL,-1,,2,DEFERIDO,1,ELEITO,-1,UDN,UNIAO DEMOCRATICA NACIONAL,-1,,UDN,4321,2.0,MASCULINO
29/4/2014,12:50:24,1947,1,ELEICOES 1947,CE,CE,7,-1,-1,ADEMAR DO NASCIMENTO FERNANDES TAVORA ,,DEPUTADO ESTADUAL,-1,,2,DEFERIDO,1,ELEITO,-1,UDN,UNIAO DEMOCRATICA NACIONAL,-1,,UDN,3016,2.0,MASCULINO
29/4/2014,12:50:24,1947,1,ELEICOES 1947,CE,CE,7,-1,-1,ALDI MENTOR COUTO MELO,,DEPUTADO ESTADUAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PCB,PARTIDO COMUNISTA DO BRASIL,-1,,PCB,664,2.0,MASCULINO
29/4/2014,12:50:24,1947,1,ELEICOES 1947,CE,CE,7,-1,-1,ALFREDO BARREIRA FILHO,,DEPUTADO ESTADUAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,UDN,UNIAO DEMOCRATICA NACIONAL,-1,,UDN,2505,2.0,MASCULINO
29/4/2014,12:50:24,1947,1,ELEICOES 1947,CE,CE,7,-1,-1,ALMIR DOS SANTOS PINTO,,DEPUTADO ESTADUAL,-1,,2,DEFERIDO,1,ELEITO,-1,PSD,PARTIDO SOCIAL DEMOCRATICO,-1,,PSD,3356,2.0,MASCULINO
