DT_GERACAO,HH_GERACAO,ANO_ELEICAO,NR_TURNO,DS_ELEICAO,SG_UF,SG_UE,CODIGO_CARGO,NUM_CANDIDATO,SQ_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_CARGO,COD_SIT_CAND_SUPERIOR,DESC_SIT_CAND_SUPERIOR,CODIGO_SIT_CANDIDATO,DESC_SIT_CANDIDATO,CODIGO_SIT_CAND_TOT,DESC_SIT_CAND_TOT,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,SEQUENCIAL_LEGENDA,NOME_COLIGACAO,COMPOSICAO_LEGENDA,TOTAL_VOTOS,CD_GENERO,DS_GENERO
29/4/2014,12:50:24,1947,1,ELEICOES 1947,PB,PB,3,-1,-1,ALCIDES VIEIRA CARNEIRO,,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PSD,PARTIDO SOCIAL DEMOCRATICO,-1,,PSD,68045,2.0,MASCULINO
29/4/2014,12:50:24,1947,1,ELEICOES 1947,PB,PB,3,-1,-1,JOSE VANDREGISELO ARAUJO DIAS,,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PCB,PARTIDO COMUNISTA DO BRASIL,-1,,PCB,46,2.0,MASCULINO
29/4/2014,12:50:24,1947,1,ELEICOES 1947,PB,PB,3,-1,-1,OSWALDO TRIGUEIRO DE ALBUQUERQUE MELO,,GOVERNADOR,-1,,2,DEFERIDO,1,ELEITO,-1,UDN,UNIAO DEMOCRATICA NACIONAL,-1,,UDN,78135,2.0,MASCULINO
29/4/2014,12:50:24,1947,1,ELEICOES 1947,PB,PB,4,-1,-1,JOSE TARGINO,,VICE-GOVERNADOR,-1,,2,DEFERIDO,1,ELEITO,-1,UDN,UNIAO DEMOCRATICA NACIONAL,-1,,UDN,83623,2.0,MASCULINO
29/4/2014,12:50:24,1947,1,ELEICOES 1947,PB,PB,4,-1,-1,ODIVIO BORBA DUARTE,,VICE-GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PSD,PARTIDO SOCIAL DEMOCRATICO,-1,,PSD,55927,2.0,MASCULINO
29/4/2014,12:50:24,1947,1,ELEICOES 1947,PB,PB,5,-1,-1,JOSE AMERICO DE ALMEIDA,,SENADOR,-1,,2,DEFERIDO,1,ELEITO,-1,UDN,UNIAO DEMOCRATICA NACIONAL,-1,,UDN,104477,2.0,MASCULINO
29/4/2014,12:50:24,1947,1,ELEICOES 1947,PB,PB,7,-1,-1,ADAMOR SOARES DE CARVALHO,,DEPUTADO ESTADUAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PSD,PARTIDO SOCIAL DEMOCRATICO,-1,,PSD,931,2.0,MASCULINO
29/4/2014,12:50:24,1947,1,ELEICOES 1947,PB,PB,7,-1,-1,AFONSO PEREIRA DA SILVA,,DEPUTADO ESTADUAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,,PTB,365,2.0,MASCULINO
29/4/2014,12:50:24,1947,1,ELEICOES 1947,PB,PB,7,-1,-1,AGEU DE CASTRO,,DEPUTADO ESTADUAL,-1,,2,DEFERIDO,1,ELEITO,-1,PSD,PARTIDO SOCIAL DEMOCRATICO,-1,,PSD,1914,2.0,MASCULINO
29/4/2014,12:50:24,1947,1,ELEICOES 1947,PB,PB,7,-1,-1,ALEGICIO DOS SANTOS LIMA,,DEPUTADO ESTADUAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PCB,PARTIDO COMUNISTA DO BRASIL,-1,,PCB,607,,FEMININO
29/4/2014,12:50:24,1947,1,ELEICOES 1947,PB,PB,7,-1,-1,ALTINO FRANCISCO DE MACEDO,,DEPUTADO ESTADUAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PCB,PARTIDO COMUNISTA DO BRASIL,-1,,PCB,22,2.0,MASCULINO
29/4/2014,12:50:24,1947,1,ELEICOES 1947,PB,PB,7,-1,-1,ALVARO GAUDENCIO DE QUEIROS,,DEPUTADO ESTADUAL,-1,,2,DEFERIDO,1,ELEITO,-1,UDN,UNIAO DEMOCRATICA NACIONAL,-1,,UDN,2290,2.0,MASCULINO
