DT_GERACAO,HH_GERACAO,ANO_ELEICAO,NR_TURNO,DS_ELEICAO,SG_UF,SG_UE,CODIGO_CARGO,NUM_CANDIDATO,SQ_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_CARGO,COD_SIT_CAND_SUPERIOR,DESC_SIT_CAND_SUPERIOR,CODIGO_SIT_CANDIDATO,DESC_SIT_CANDIDATO,CODIGO_SIT_CAND_TOT,DESC_SIT_CAND_TOT,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,SEQUENCIAL_LEGENDA,NOME_COLIGACAO,COMPOSICAO_LEGENDA,TOTAL_VOTOS,CD_GENERO,DS_GENERO
16/1/2014,15:43:25,1962,1,ELEICAO 1962,PA,PA,5,-1,-1,CLEO BERNARDO,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,,,-1,COLIGACAO DEMOCRATICA PARAENSE,PSP / PTN / PRT / PR / PSB / UDN / PL / MTR,79250,2.0,MASCULINO
16/1/2014,15:43:25,1962,1,ELEICAO 1962,PA,PA,5,-1,-1,EDWARD CATTETE PINHEIRO,,SENADOR,-1,,2,DEFERIDO,1,ELEITO,-1,,,-1,COLIGACAO DEMOCRATICA PARAENSE,PSP / PTN / PRT / PR / PSB / UDN / PL / MTR,123870,2.0,MASCULINO
16/1/2014,15:43:25,1962,1,ELEICAO 1962,PA,PA,5,-1,-1,JOAQUIM LOBAO DA SILVEIRA,,SENADOR,-1,,2,DEFERIDO,1,ELEITO,-1,,,-1,,PSD,97444,2.0,MASCULINO
16/1/2014,15:43:25,1962,1,ELEICAO 1962,PA,PA,5,-1,-1,WALDIR BOUHID,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,,,-1,,PSD,86839,2.0,MASCULINO
16/1/2014,15:43:25,1962,1,ELEICAO 1962,PA,PA,6,-1,-1,ADRIANO FERNANDES GONCALVES,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,,,-1,COLIGACAO DEMOCRATICA PARAENSE,PSP / PTN / PRT / PR / MTR / PSB / UDN / PL,5582,2.0,MASCULINO
16/1/2014,15:43:25,1962,1,ELEICAO 1962,PA,PA,6,-1,-1,AMERICO SILVA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,,,-1,,PTB,11960,2.0,MASCULINO
16/1/2014,15:43:25,1962,1,ELEICAO 1962,PA,PA,6,-1,-1,AMILCAR CARVALHO DA SILVA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,,,-1,,PTB,3604,2.0,MASCULINO
16/1/2014,15:43:25,1962,1,ELEICAO 1962,PA,PA,6,-1,-1,ANNIBAL DUARTE DE OLIVEIRA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,,,-1,,PSD,3355,2.0,MASCULINO
16/1/2014,15:43:25,1962,1,ELEICAO 1962,PA,PA,6,-1,-1,ANTONIO BERNARDO DIAS MAIA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,,,-1,COLIGACAO DEMOCRATICA PARAENSE,PSP / PTN / PRT / PR / MTR / PSB / UDN / PL,29,2.0,MASCULINO
16/1/2014,15:43:25,1962,1,ELEICAO 1962,PA,PA,6,-1,-1,ARMANDO DE SOUZA CORREA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,,,-1,,PSD,13604,2.0,MASCULINO
