DT_GERACAO,HH_GERACAO,ANO_ELEICAO,NR_TURNO,DS_ELEICAO,SG_UF,SG_UE,CODIGO_CARGO,NUM_CANDIDATO,SQ_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_CARGO,COD_SIT_CAND_SUPERIOR,DESC_SIT_CAND_SUPERIOR,CODIGO_SIT_CANDIDATO,DESC_SIT_CANDIDATO,CODIGO_SIT_CAND_TOT,DESC_SIT_CAND_TOT,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,SEQUENCIAL_LEGENDA,NOME_COLIGACAO,COMPOSICAO_LEGENDA,TOTAL_VOTOS,CD_GENERO,DS_GENERO
1/10/2013,13:25:16,1966,1,ELEICAO 1966,RN,RN,5,-1,-1,FRANCISCO DUARTE FILHO,,SENADOR,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,143315,2.0,MASCULINO
1/10/2013,13:25:16,1966,1,ELEICAO 1966,RN,RN,5,-1,-1,ODILON RIBEIRO COUTINHO,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,114325,2.0,MASCULINO
1/10/2013,13:25:16,1966,1,ELEICAO 1966,RN,RN,6,-1,-1,AGENOR NUNES DE MARIA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,13045,2.0,MASCULINO
1/10/2013,13:25:16,1966,1,ELEICAO 1966,RN,RN,6,-1,-1,ALUIZIO ALVES,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,59985,2.0,MASCULINO
1/10/2013,13:25:16,1966,1,ELEICAO 1966,RN,RN,6,-1,-1,ALUIZIO GONCALVES BEZERRA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,18260,2.0,MASCULINO
1/10/2013,13:25:16,1966,1,ELEICAO 1966,RN,RN,6,-1,-1,ALVARO COUTINHO DA MOTA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,14699,2.0,MASCULINO
1/10/2013,13:25:16,1966,1,ELEICAO 1966,RN,RN,6,-1,-1,DJALMA ARANHA MARINHO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,22546,2.0,MASCULINO
1/10/2013,13:25:16,1966,1,ELEICAO 1966,RN,RN,6,-1,-1,ERIVAN SANTIAGO FRANCA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,12597,2.0,MASCULINO
1/10/2013,13:25:16,1966,1,ELEICAO 1966,RN,RN,6,-1,-1,GRIMALDI RIBEIRO DE PAIVA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,14741,2.0,MASCULINO
1/10/2013,13:25:16,1966,1,ELEICAO 1966,RN,RN,6,-1,-1,JERONIMO VINGT ROSADO MAIA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,29490,2.0,MASCULINO
1/10/2013,13:25:16,1966,1,ELEICAO 1966,RN,RN,6,-1,-1,JESSE PINTO FREIRE,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,26456,2.0,MASCULINO
1/10/2013,13:25:16,1966,1,ELEICAO 1966,RN,RN,6,-1,-1,JOSE MARTINS DA CRUZ,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,4,NAO ELEITO,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,857,2.0,MASCULINO
1/10/2013,13:25:16,1966,1,ELEICAO 1966,RN,RN,6,-1,-1,JOSE VASCONCELOS DA ROCHA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,4,NAO ELEITO,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,10661,2.0,MASCULINO
1/10/2013,13:25:16,1966,1,ELEICAO 1966,RN,RN,6,-1,-1,NEY LOPES DE SOUZA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,4,NAO ELEITO,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,8103,2.0,MASCULINO
