DT_GERACAO,HH_GERACAO,ANO_ELEICAO,NR_TURNO,DS_ELEICAO,SG_UF,SG_UE,CODIGO_CARGO,NUM_CANDIDATO,SQ_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_CARGO,COD_SIT_CAND_SUPERIOR,DESC_SIT_CAND_SUPERIOR,CODIGO_SIT_CANDIDATO,DESC_SIT_CANDIDATO,CODIGO_SIT_CAND_TOT,DESC_SIT_CAND_TOT,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,SEQUENCIAL_LEGENDA,NOME_COLIGACAO,COMPOSICAO_LEGENDA,TOTAL_VOTOS,CD_GENERO,DS_GENERO
1/10/2013,13:25:16,1966,1,ELEICAO 1966,SE,SE,5,-1,-1,LEANDRO MAYNARD MACIEL,,SENADOR,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,77867,2.0,MASCULINO
1/10/2013,13:25:16,1966,1,ELEICAO 1966,SE,SE,5,-1,-1,OVIEDO TEIXEIRA,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,56684,2.0,MASCULINO
1/10/2013,13:25:16,1966,1,ELEICAO 1966,SE,SE,6,-1,-1,ARIOSTO MESQUITA AMADO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,3052,2.0,MASCULINO
1/10/2013,13:25:16,1966,1,ELEICAO 1966,SE,SE,6,-1,-1,ARNALDO ROLLEMBERG GARCEZ,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,13696,2.0,MASCULINO
1/10/2013,13:25:16,1966,1,ELEICAO 1966,SE,SE,6,-1,-1,AUGUSTO DO PRADO FRANCO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,21360,2.0,MASCULINO
1/10/2013,13:25:16,1966,1,ELEICAO 1966,SE,SE,6,-1,-1,ERALDO MACHADO LEMOS,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,5848,2.0,MASCULINO
1/10/2013,13:25:16,1966,1,ELEICAO 1966,SE,SE,6,-1,-1,FERNANDO PRADO LEITE,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,6993,2.0,MASCULINO
1/10/2013,13:25:16,1966,1,ELEICAO 1966,SE,SE,6,-1,-1,HERIBALDO DANTAS VIEIRA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,3873,2.0,MASCULINO
1/10/2013,13:25:16,1966,1,ELEICAO 1966,SE,SE,6,-1,-1,JOAO MACHADO ROLLEMBERG DE MENDONCA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,12496,2.0,MASCULINO
1/10/2013,13:25:16,1966,1,ELEICAO 1966,SE,SE,6,-1,-1,JOSE CARLOS MESQUITA TEIXEIRA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,13225,2.0,MASCULINO
1/10/2013,13:25:16,1966,1,ELEICAO 1966,SE,SE,6,-1,-1,JOSE ONIAS DE CARVALHO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,7475,2.0,MASCULINO
1/10/2013,13:25:16,1966,1,ELEICAO 1966,SE,SE,6,-1,-1,JOSE PASSOS PORTO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,8899,2.0,MASCULINO
1/10/2013,13:25:16,1966,1,ELEICAO 1966,SE,SE,6,-1,-1,JOSE RAIMUNDO RIBEIRO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,4997,2.0,MASCULINO
1/10/2013,13:25:16,1966,1,ELEICAO 1966,SE,SE,6,-1,-1,LUIZ GARCIA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,12278,2.0,MASCULINO
1/10/2013,13:25:16,1966,1,ELEICAO 1966,SE,SE,6,-1,-1,RAIMUNDO MENEZES DINIZ,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,12825,2.0,MASCULINO
1/10/2013,13:25:16,1966,1,ELEICAO 1966,SE,SE,6,-1,-1,RUI SANTIAGO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,158,2.0,MASCULINO
1/10/2013,13:25:16,1966,1,ELEICAO 1966,SE,SE,6,-1,-1,THEMISTOCLES DINIZ GONCALVES,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,2017,2.0,MASCULINO
1/10/2013,13:25:16,1966,1,ELEICAO 1966,SE,SE,6,-1,-1,WALTER DE ASSIS FERREIRA BATISTA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,2298,2.0,MASCULINO
1/10/2013,13:25:16,1966,1,ELEICAO 1966,SE,SE,7,-1,-1,AECIO SILVA DA FONSECA,,DEPUTADO ESTADUAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,926,2.0,MASCULINO
1/10/2013,13:25:16,1966,1,ELEICAO 1966,SE,SE,7,-1,-1,AERTON MENEZES SILVA,,DEPUTADO ESTADUAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,1972,2.0,MASCULINO
1/10/2013,13:25:16,1966,1,ELEICAO 1966,SE,SE,7,-1,-1,AGNALDO ROCHA MENEZES,,DEPUTADO ESTADUAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,569,2.0,MASCULINO
1/10/2013,13:25:16,1966,1,ELEICAO 1966,SE,SE,7,-1,-1,ALBANO DO PRADO FRANCO,,DEPUTADO ESTADUAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,3819,2.0,MASCULINO
