DT_GERACAO,HH_GERACAO,ANO_ELEICAO,NR_TURNO,DS_ELEICAO,SG_UF,SG_UE,CODIGO_CARGO,NUM_CANDIDATO,SQ_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_CARGO,COD_SIT_CAND_SUPERIOR,DESC_SIT_CAND_SUPERIOR,CODIGO_SIT_CANDIDATO,DESC_SIT_CANDIDATO,CODIGO_SIT_CAND_TOT,DESC_SIT_CAND_TOT,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,SEQUENCIAL_LEGENDA,NOME_COLIGACAO,COMPOSICAO_LEGENDA,TOTAL_VOTOS,CD_GENERO,DS_GENERO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,ES,ES,5,-1,-1,BERREDO DE MENEZES,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,109519,,FEMININO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,ES,ES,5,-1,-1,EURICO VIEIRA DE REZENDE,,SENADOR,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,165093,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,ES,ES,5,-1,-1,JOAO DE MEDEIROS CALMON,,SENADOR,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,157887,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,ES,ES,5,-1,-1,SOLON BORGES MARQUES,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,150381,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,ES,ES,6,-1,-1,ADALBERTO SIMAO NADER,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,15934,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,ES,ES,6,-1,-1,ADYR MAYA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,15065,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,ES,ES,6,-1,-1,ARGILANO DARIO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,16247,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,ES,ES,6,-1,-1,DIRCEU CARDOSO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,15717,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,ES,ES,6,-1,-1,ELCIO ALVARES,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,33067,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,ES,ES,6,-1,-1,JOSE CARLOS DE FONSECA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,27105,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,ES,ES,6,-1,-1,JOSE CUPERTINO LEITE DE ALMEIDA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,7387,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,ES,ES,6,-1,-1,JOSE GONCALVES DA ROSA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,5075,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,ES,ES,6,-1,-1,JOSE PARENTE FROTA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,25247,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,ES,ES,6,-1,-1,JOSE TASSO OLIVEIRA DE ANDRADE,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,17914,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,ES,ES,6,-1,-1,OSWALDO ZANELLO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,26078,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,ES,ES,6,-1,-1,TUFFY NADER,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,13984,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,ES,ES,6,-1,-1,WALLACE VIEIRA BORGES,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,13216,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,ES,ES,7,-1,-1,ALCINO SANTOS,,DEPUTADO ESTADUAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,6079,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,ES,ES,7,-1,-1,AMERICO BERNARDES DA SILVEIRA,,DEPUTADO ESTADUAL,-1,,2,DEFERIDO,1,ELEITO,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,4477,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,ES,ES,7,-1,-1,ANTONIO CARLOS VAZ FIDALGO,,DEPUTADO ESTADUAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,2249,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,ES,ES,7,-1,-1,ANTONIO JACQUES SOARES,,DEPUTADO ESTADUAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,5893,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,ES,ES,7,-1,-1,ARNALDO PINTO DA VITORIA,,DEPUTADO ESTADUAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,3107,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,ES,ES,7,-1,-1,CARLOS ALBERTO BAPTISTA DA CUNHA,,DEPUTADO ESTADUAL,-1,,2,DEFERIDO,1,ELEITO,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,4420,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,ES,ES,7,-1,-1,CELSO FRANCISCO BORGES,,DEPUTADO ESTADUAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,3032,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,ES,ES,7,-1,-1,CELSO MERLO,,DEPUTADO ESTADUAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,735,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,ES,ES,7,-1,-1,DANILO MONTEIRO DE CASTRO,,DEPUTADO ESTADUAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,3748,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,ES,ES,7,-1,-1,DARCY CASTELLO MENDONCA,,DEPUTADO ESTADUAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,2310,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,ES,ES,7,-1,-1,DELIO RODRIGUES CORREA,,DEPUTADO ESTADUAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,3037,2.0,MASCULINO
