DT_GERACAO,HH_GERACAO,ANO_ELEICAO,NR_TURNO,DS_ELEICAO,SG_UF,SG_UE,CODIGO_CARGO,NUM_CANDIDATO,SQ_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_CARGO,COD_SIT_CAND_SUPERIOR,DESC_SIT_CAND_SUPERIOR,CODIGO_SIT_CANDIDATO,DESC_SIT_CANDIDATO,CODIGO_SIT_CAND_TOT,DESC_SIT_CAND_TOT,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,SEQUENCIAL_LEGENDA,NOME_COLIGACAO,COMPOSICAO_LEGENDA,TOTAL_VOTOS,CD_GENERO,DS_GENERO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,GO,GO,5,-1,-1,BENEDITO VICENTE FERREIRA,,SENADOR,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,282685,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,GO,GO,5,-1,-1,EMIVAL RAMOS CAIADO,,SENADOR,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,278640,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,GO,GO,5,-1,-1,GERSON DE CASTRO COSTA,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,234734,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,GO,GO,5,-1,-1,OSIRES TEIXEIRA,,SENADOR,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,283296,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,GO,GO,5,-1,-1,PEDRO LUDOVICO TEIXEIRA JUNIOR,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,249472,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,GO,GO,5,-1,-1,RAUL BALDUINO DE SOUZA,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,260272,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,GO,GO,6,-1,-1,ANAPOLINO SILVERIO DE FARIA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,30180,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,GO,GO,6,-1,-1,ANTONIO LISBOA MACHADO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,14999,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,GO,GO,6,-1,-1,ANTONIO REZENDE MONTEIRO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,33993,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,GO,GO,6,-1,-1,ARY RIBEIRO VALADAO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,25845,2.0,MASCULINO
