DT_GERACAO,HH_GERACAO,ANO_ELEICAO,NR_TURNO,DS_ELEICAO,SG_UF,SG_UE,CODIGO_CARGO,NUM_CANDIDATO,SQ_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_CARGO,COD_SIT_CAND_SUPERIOR,DESC_SIT_CAND_SUPERIOR,CODIGO_SIT_CANDIDATO,DESC_SIT_CANDIDATO,CODIGO_SIT_CAND_TOT,DESC_SIT_CAND_TOT,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,SEQUENCIAL_LEGENDA,NOME_COLIGACAO,COMPOSICAO_LEGENDA,TOTAL_VOTOS,CD_GENERO,DS_GENERO
6/9/2013,13:42:21,1974,1,ELEICAO 1974,MG,MG,5,-1,-1,ITAMAR AUGUSTO CAUTIERO FRANCO,,SENADOR,-1,,2,DEFERIDO,1,ELEITO,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,1443443,2.0,MASCULINO
6/9/2013,13:42:21,1974,1,ELEICAO 1974,MG,MG,5,-1,-1,JOSE AUGUSTO FERREIRA FILHO,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,1263948,2.0,MASCULINO
6/9/2013,13:42:21,1974,1,ELEICAO 1974,MG,MG,6,-1,-1,ADAIR FERNANDES MURTA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,9712,2.0,MASCULINO
6/9/2013,13:42:21,1974,1,ELEICAO 1974,MG,MG,6,-1,-1,ADAO ILDEFONSO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,3638,2.0,MASCULINO
6/9/2013,13:42:21,1974,1,ELEICAO 1974,MG,MG,6,-1,-1,ADRIANO BAILONI JUNIOR,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,4673,2.0,MASCULINO
6/9/2013,13:42:21,1974,1,ELEICAO 1974,MG,MG,6,-1,-1,AECIO FERREIRA DA CUNHA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,45945,2.0,MASCULINO
6/9/2013,13:42:21,1974,1,ELEICAO 1974,MG,MG,6,-1,-1,ALEXANDRE MELO DOS SANTOS,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,4755,2.0,MASCULINO
6/9/2013,13:42:21,1974,1,ELEICAO 1974,MG,MG,6,-1,-1,ALTAIR CHAGAS,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,45765,2.0,MASCULINO
6/9/2013,13:42:21,1974,1,ELEICAO 1974,MG,MG,6,-1,-1,AMADOR DE BARROS MOREIRA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,24024,2.0,MASCULINO
6/9/2013,13:42:21,1974,1,ELEICAO 1974,MG,MG,6,-1,-1,ATHOS VIEIRA DE ANDRADE,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,32930,2.0,MASCULINO
6/9/2013,13:42:21,1974,1,ELEICAO 1974,MG,MG,6,-1,-1,BENTO GONCALVES FILHO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,42284,2.0,MASCULINO
6/9/2013,13:42:21,1974,1,ELEICAO 1974,MG,MG,6,-1,-1,CAMILO NOGUEIRA DA GAMA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,54753,2.0,MASCULINO
6/9/2013,13:42:21,1974,1,ELEICAO 1974,MG,MG,6,-1,-1,CARLOS ALBERTO COTTA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,47015,2.0,MASCULINO
6/9/2013,13:42:21,1974,1,ELEICAO 1974,MG,MG,6,-1,-1,CHRISPIM JACQUES BIAS FORTES,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,42413,2.0,MASCULINO
6/9/2013,13:42:21,1974,1,ELEICAO 1974,MG,MG,6,-1,-1,DANILO ALVES SANTANA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,2722,2.0,MASCULINO
6/9/2013,13:42:21,1974,1,ELEICAO 1974,MG,MG,6,-1,-1,DELSON SCARANO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,32011,2.0,MASCULINO
6/9/2013,13:42:21,1974,1,ELEICAO 1974,MG,MG,6,-1,-1,EDGARD DE VASCONCELOS BARROS,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,28847,2.0,MASCULINO
6/9/2013,13:42:21,1974,1,ELEICAO 1974,MG,MG,6,-1,-1,EDGARD MACHADO BORGES,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,9577,2.0,MASCULINO
6/9/2013,13:42:21,1974,1,ELEICAO 1974,MG,MG,6,-1,-1,ELIAS DE SOUSA CARMO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,31900,2.0,MASCULINO
6/9/2013,13:42:21,1974,1,ELEICAO 1974,MG,MG,6,-1,-1,EULER RABELO VASCONCELOS,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,9410,2.0,MASCULINO
6/9/2013,13:42:21,1974,1,ELEICAO 1974,MG,MG,6,-1,-1,FABIO FONSECA E SILVA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,42759,2.0,MASCULINO
6/9/2013,13:42:21,1974,1,ELEICAO 1974,MG,MG,6,-1,-1,FERNANDO JORGE FAGUNDES NETO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,61950,2.0,MASCULINO
6/9/2013,13:42:21,1974,1,ELEICAO 1974,MG,MG,6,-1,-1,FRANCELINO PEREIRA DOS SANTOS,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,65754,2.0,MASCULINO
6/9/2013,13:42:21,1974,1,ELEICAO 1974,MG,MG,6,-1,-1,FRANCISCO BILAC MOREIRA PINTO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,51391,2.0,MASCULINO
