DT_GERACAO,HH_GERACAO,ANO_ELEICAO,NR_TURNO,DS_ELEICAO,SG_UF,SG_UE,CODIGO_CARGO,NUM_CANDIDATO,SQ_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_CARGO,COD_SIT_CAND_SUPERIOR,DESC_SIT_CAND_SUPERIOR,CODIGO_SIT_CANDIDATO,DESC_SIT_CANDIDATO,CODIGO_SIT_CAND_TOT,DESC_SIT_CAND_TOT,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,SEQUENCIAL_LEGENDA,NOME_COLIGACAO,COMPOSICAO_LEGENDA,TOTAL_VOTOS,CD_GENERO,DS_GENERO
9/9/2013,14:59:48,1978,1,ELEICAO 1978,SC,SC,5,-1,-1,AROLDO CARNEIRO DE CARVALHO,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,196765,2.0,MASCULINO
9/9/2013,14:59:48,1978,1,ELEICAO 1978,SC,SC,5,-1,-1,DEJANDIR DAL PASQUALE,,SENADOR,-1,,2,DEFERIDO,2,SUPLENTE,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,160255,2.0,MASCULINO
9/9/2013,14:59:48,1978,1,ELEICAO 1978,SC,SC,5,-1,-1,JAYSON TUPY BARRETO,,SENADOR,-1,,2,DEFERIDO,1,ELEITO,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,465930,2.0,MASCULINO
9/9/2013,14:59:48,1978,1,ELEICAO 1978,SC,SC,5,-1,-1,WILMAR DALLANHOL,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,409664,4.0,FEMININO
9/9/2013,14:59:48,1978,1,ELEICAO 1978,SC,SC,6,-1,-1,ABEL AVILA DOS SANTOS,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,26798,2.0,MASCULINO
9/9/2013,14:59:48,1978,1,ELEICAO 1978,SC,SC,6,-1,-1,ACACIO PEREIRA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,32623,2.0,MASCULINO
9/9/2013,14:59:48,1978,1,ELEICAO 1978,SC,SC,6,-1,-1,ADHEMAR PALADINI GHISI,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,63291,2.0,MASCULINO
9/9/2013,14:59:48,1978,1,ELEICAO 1978,SC,SC,6,-1,-1,AFONSO VEIGA FILHO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,9846,2.0,MASCULINO
9/9/2013,14:59:48,1978,1,ELEICAO 1978,SC,SC,6,-1,-1,ANGELINO ROSA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,36336,2.0,MASCULINO
9/9/2013,14:59:48,1978,1,ELEICAO 1978,SC,SC,6,-1,-1,ANTONIO MENESES LIMA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,19243,2.0,MASCULINO
9/9/2013,14:59:48,1978,1,ELEICAO 1978,SC,SC,6,-1,-1,ARNALDO SCHMITT JUNIOR,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,65118,2.0,MASCULINO
9/9/2013,14:59:48,1978,1,ELEICAO 1978,SC,SC,6,-1,-1,ARTENIR WERNER,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,39635,2.0,MASCULINO
9/9/2013,14:59:48,1978,1,ELEICAO 1978,SC,SC,6,-1,-1,ARY SCHUBERT,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,7577,2.0,MASCULINO
9/9/2013,14:59:48,1978,1,ELEICAO 1978,SC,SC,6,-1,-1,CESAR CORREA DO NASCIMENTO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,22959,2.0,MASCULINO
9/9/2013,14:59:48,1978,1,ELEICAO 1978,SC,SC,6,-1,-1,ERNESTO JOSE DE MARCO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,35888,2.0,MASCULINO
9/9/2013,14:59:48,1978,1,ELEICAO 1978,SC,SC,6,-1,-1,ESPERIDIAO AMIN HELOU FILHO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,72380,2.0,MASCULINO
9/9/2013,14:59:48,1978,1,ELEICAO 1978,SC,SC,6,-1,-1,EVALDO AMARAL,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,42641,2.0,MASCULINO
9/9/2013,14:59:48,1978,1,ELEICAO 1978,SC,SC,6,-1,-1,FRANCISCO MENDES DE MELO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,36581,2.0,MASCULINO
9/9/2013,14:59:48,1978,1,ELEICAO 1978,SC,SC,6,-1,-1,FRANCISCO ORESTES LIBARDONI,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,39779,2.0,MASCULINO
9/9/2013,14:59:48,1978,1,ELEICAO 1978,SC,SC,6,-1,-1,IRAI ZILIO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,26906,4.0,FEMININO
9/9/2013,14:59:48,1978,1,ELEICAO 1978,SC,SC,6,-1,-1,JOAO CANDIDO LINHARES,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,58930,2.0,MASCULINO
9/9/2013,14:59:48,1978,1,ELEICAO 1978,SC,SC,6,-1,-1,JOSE THOME,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,33544,2.0,MASCULINO
9/9/2013,14:59:48,1978,1,ELEICAO 1978,SC,SC,6,-1,-1,JUAREZ ROGERIO FURTADO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,38898,2.0,MASCULINO
9/9/2013,14:59:48,1978,1,ELEICAO 1978,SC,SC,6,-1,-1,LAERTE RAMOS VIEIRA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,27188,2.0,MASCULINO
9/9/2013,14:59:48,1978,1,ELEICAO 1978,SC,SC,6,-1,-1,LAURO SALVADOR,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,14172,2.0,MASCULINO
9/9/2013,14:59:48,1978,1,ELEICAO 1978,SC,SC,6,-1,-1,LUIZ ANTONIO CECHINEL,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,37330,2.0,MASCULINO
9/9/2013,14:59:48,1978,1,ELEICAO 1978,SC,SC,6,-1,-1,MILTON POMPEU DA COSTA RIBEIRO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,21439,2.0,MASCULINO
9/9/2013,14:59:48,1978,1,ELEICAO 1978,SC,SC,6,-1,-1,NELSON MORRO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,52170,2.0,MASCULINO
9/9/2013,14:59:48,1978,1,ELEICAO 1978,SC,SC,6,-1,-1,NEREU GUIDI,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,45279,2.0,MASCULINO
9/9/2013,14:59:48,1978,1,ELEICAO 1978,SC,SC,6,-1,-1,PEDRO IVO FIGUEIREDO DE CAMPOS,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,64070,2.0,MASCULINO
9/9/2013,14:59:48,1978,1,ELEICAO 1978,SC,SC,6,-1,-1,PEDRO PAULO HINGS COLIN,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,37645,2.0,MASCULINO
9/9/2013,14:59:48,1978,1,ELEICAO 1978,SC,SC,6,-1,-1,ROBERTO LAPA PIRES,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,3110,2.0,MASCULINO
9/9/2013,14:59:48,1978,1,ELEICAO 1978,SC,SC,6,-1,-1,ROMEU LOPES DE CARVALHO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,3703,2.0,MASCULINO
9/9/2013,14:59:48,1978,1,ELEICAO 1978,SC,SC,6,-1,-1,SADY CAVALHEIRO MARINHO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,19547,2.0,MASCULINO
9/9/2013,14:59:48,1978,1,ELEICAO 1978,SC,SC,6,-1,-1,SYLVIO JOSE DE OLIVEIRA RAMOS,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,3735,2.0,MASCULINO
9/9/2013,14:59:48,1978,1,ELEICAO 1978,SC,SC,6,-1,-1,VALMIR WAGNER,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,5979,2.0,MASCULINO
9/9/2013,14:59:48,1978,1,ELEICAO 1978,SC,SC,6,-1,-1,VICTOR FONTANA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,63470,2.0,MASCULINO
9/9/2013,14:59:48,1978,1,ELEICAO 1978,SC,SC,6,-1,-1,WALMOR PAULO DE LUCA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,45013,2.0,MASCULINO
9/9/2013,14:59:48,1978,1,ELEICAO 1978,SC,SC,6,-1,-1,ZANY GONZAGA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,19711,4.0,FEMININO
9/9/2013,14:59:48,1978,1,ELEICAO 1978,SC,SC,7,-1,-1,ACACIO ALFREDO VILLAIN,,DEPUTADO ESTADUAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,10313,2.0,MASCULINO
9/9/2013,14:59:48,1978,1,ELEICAO 1978,SC,SC,7,-1,-1,ADERBAL TAVARES LOPES,,DEPUTADO ESTADUAL,-1,,2,DEFERIDO,1,ELEITO,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,13130,2.0,MASCULINO
9/9/2013,14:59:48,1978,1,ELEICAO 1978,SC,SC,7,-1,-1,ALDO PEREIRA DE ANDRADE,,DEPUTADO ESTADUAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,16020,2.0,MASCULINO
9/9/2013,14:59:48,1978,1,ELEICAO 1978,SC,SC,7,-1,-1,ALGEMIRO MANIQUE BARRETO,,DEPUTADO ESTADUAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,13395,2.0,MASCULINO
9/9/2013,14:59:48,1978,1,ELEICAO 1978,SC,SC,7,-1,-1,ALMIR JOAO BINOTTO,,DEPUTADO ESTADUAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,3709,2.0,MASCULINO
9/9/2013,14:59:48,1978,1,ELEICAO 1978,SC,SC,7,-1,-1,ALOISIO ACACIO PIAZZA,,DEPUTADO ESTADUAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,4226,2.0,MASCULINO
9/9/2013,14:59:48,1978,1,ELEICAO 1978,SC,SC,7,-1,-1,ALVARO CORREIA,,DEPUTADO ESTADUAL,-1,,2,DEFERIDO,1,ELEITO,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,15390,2.0,MASCULINO
9/9/2013,14:59:48,1978,1,ELEICAO 1978,SC,SC,7,-1,-1,ALVINO RAITZ,,DEPUTADO ESTADUAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,3227,2.0,MASCULINO
9/9/2013,14:59:48,1978,1,ELEICAO 1978,SC,SC,7,-1,-1,ANTONIO ABELARDO BADO,,DEPUTADO ESTADUAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,1101,2.0,MASCULINO
