DT_GERACAO,HH_GERACAO,ANO_ELEICAO,NR_TURNO,DS_ELEICAO,SG_UF,SG_UE,CODIGO_CARGO,NUM_CANDIDATO,SQ_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_CARGO,COD_SIT_CAND_SUPERIOR,DESC_SIT_CAND_SUPERIOR,CODIGO_SIT_CANDIDATO,DESC_SIT_CANDIDATO,CODIGO_SIT_CAND_TOT,DESC_SIT_CAND_TOT,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,SEQUENCIAL_LEGENDA,NOME_COLIGACAO,COMPOSICAO_LEGENDA,TOTAL_VOTOS,CD_GENERO,DS_GENERO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,AC,AC,3,-1,-1,JORGE KALUME,,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,1,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,,,33879,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,AC,AC,3,-1,-1,NABOR TELES DA ROCHA JUNIOR,,GOVERNADOR,-1,,2,DEFERIDO,1,ELEITO,5,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,36369,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,AC,AC,3,-1,-1,NATALINO DA SILVEIRA BRITO FILHO ,,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,4,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,,,3152,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,AC,AC,3,-1,-1,NILSON MOURA LEITE MOURAO ,,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,3,PT,PARTIDO DOS TRABALHADORES,-1,,,4637,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,AC,AC,5,-1,-1,ABRAHIM FARHAT NETO,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,3,PT,PARTIDO DOS TRABALHADORES,-1,,,4554,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,AC,AC,5,-1,-1,FRANCISCO DIOGENES DE ARAUJO,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,1,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,,,10874,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,AC,AC,5,-1,-1,LAELIA CONTREIRA AGRA DE ALCANTARA ,,SENADOR,-1,,2,DEFERIDO,2,SUPLENTE,5,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,2195,4.0,FEMININO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,AC,AC,5,-1,-1,MARIO MAIA,,SENADOR,-1,,2,DEFERIDO,1,ELEITO,5,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,32852,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,AC,AC,5,-1,-1,OMAR SABINO DE PAULA,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,1,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,,,2450,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,AC,AC,5,-1,-1,SAID ABRAHIM FARHAT,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,1,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,,,20341,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,AC,AC,5,-1,-1,SYLVIO NIEMEYER,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,4,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,,,2491,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,AC,AC,6,-1,-1,ALERCIO DIAS,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,1,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,,,6311,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,AC,AC,6,-1,-1,ALUIZIO BEZERRA DE OLIVEIRA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,5,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,7904,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,AC,AC,6,-1,-1,AMILCAR ALVES DE QUEIROZ,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,1,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,,,10535,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,AC,AC,6,-1,-1,ANTONIO MANTOVANELLL,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,1,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,,,265,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,AC,AC,6,-1,-1,CLAUDIO GASTAO KIPPER,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,5,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,712,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,AC,AC,6,-1,-1,CLOVIS DE AZEVEDO MAIA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,5,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,329,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,AC,AC,6,-1,-1,DANIEL ISRAEL,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,1,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,,,106,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,AC,AC,6,-1,-1,DOUGLAS PIFFER SALLUM,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,1,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,,,664,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,AC,AC,6,-1,-1,FLORES CARLOS COGO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,4,NAO ELEITO,4,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,,,1282,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,AC,AC,6,-1,-1,GERALDO REIS FLEMING,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,5,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,7895,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,AC,AC,6,-1,-1,JOAO MAIA DA SILVA FILHO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,4,NAO ELEITO,3,PT,PARTIDO DOS TRABALHADORES,-1,,,3549,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,AC,AC,6,-1,-1,JOSE BAPTISTA DE MELO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,5,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,5661,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,AC,AC,6,-1,-1,JOSE GUIMARAES PIRES DE AVILA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,4,NAO ELEITO,4,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,,,187,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,AC,AC,6,-1,-1,JOSE RUY DA SILVEIRA LINO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,5,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,6370,2.0,MASCULINO
