DT_GERACAO,HH_GERACAO,ANO_ELEICAO,NR_TURNO,DS_ELEICAO,SG_UF,SG_UE,CODIGO_CARGO,NUM_CANDIDATO,SQ_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_CARGO,COD_SIT_CAND_SUPERIOR,DESC_SIT_CAND_SUPERIOR,CODIGO_SIT_CANDIDATO,DESC_SIT_CANDIDATO,CODIGO_SIT_CAND_TOT,DESC_SIT_CAND_TOT,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,SEQUENCIAL_LEGENDA,NOME_COLIGACAO,COMPOSICAO_LEGENDA,TOTAL_VOTOS,CD_GENERO,DS_GENERO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,AM,AM,3,-1,-1,GILBERTO MESTRINHO DE MEDEIROS RAPOSO,,GOVERNADOR,-1,,2,DEFERIDO,1,ELEITO,5,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,201182,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,AM,AM,3,-1,-1,JOSUE CLAUDIO DE SOUZA FILHO,,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,1,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,,,164190,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,AM,AM,3,-1,-1,OSVALDO GOMES COELHO,,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,3,PT,PARTIDO DOS TRABALHADORES,-1,,,5352,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,AM,AM,3,-1,-1,PLINIO RAMOS COELHO,,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,4,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,,,4203,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,AM,AM,5,-1,-1,AUREO BRINGEL DE MELLO,,SENADOR,-1,,2,DEFERIDO,2,SUPLENTE,5,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,2676,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,AM,AM,5,-1,-1,DOMINGOS SAVIO RAMOS DE LIMA,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,1,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,,,8893,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,AM,AM,5,-1,-1,EDMUNDO FERNANDES LEVI,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,4,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,,,3807,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,AM,AM,5,-1,-1,EVANDRO DAS NEVES CARREIRA,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,3,PT,PARTIDO DOS TRABALHADORES,-1,,,902,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,AM,AM,5,-1,-1,FABIO PEREIRA DE LUCENA BITTENCOURT ,,SENADOR,-1,,2,DEFERIDO,1,ELEITO,5,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,186448,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,AM,AM,5,-1,-1,JOSE BERNARDINO LINDOSO,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,1,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,,,87504,2.0,MASCULINO
