DT_GERACAO,HH_GERACAO,ANO_ELEICAO,NR_TURNO,DS_ELEICAO,SG_UF,SG_UE,CODIGO_CARGO,NUM_CANDIDATO,SQ_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_CARGO,COD_SIT_CAND_SUPERIOR,DESC_SIT_CAND_SUPERIOR,CODIGO_SIT_CANDIDATO,DESC_SIT_CANDIDATO,CODIGO_SIT_CAND_TOT,DESC_SIT_CAND_TOT,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,SEQUENCIAL_LEGENDA,NOME_COLIGACAO,COMPOSICAO_LEGENDA,TOTAL_VOTOS,CD_GENERO,DS_GENERO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,MT,MT,3,-1,-1,ANACLETO CIOCARI,,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,2,PDT,PARTIDO DEMOCRATICO TRABALHISTA,-1,,,899,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,MT,MT,3,-1,-1,JOAO ANTONIO CABRAL DE MONLEVADE,,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,3,PT,PARTIDO DOS TRABALHADORES,-1,,,887,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,MT,MT,3,-1,-1,JULIO JOSE DE CAMPOS,,GOVERNADOR,-1,,2,DEFERIDO,1,ELEITO,1,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,,,203605,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,MT,MT,3,-1,-1,RAIMUNDO DE C. POMBO M. DA CRUZ,,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,5,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,188878,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,MT,MT,5,-1,-1,ASTERIO LACERDA DE MELO FRANCO,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,3,PT,PARTIDO DOS TRABALHADORES,-1,,,847,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,MT,MT,5,-1,-1,EDEVALDO VALERIANO DE C. FILHO,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,2,PDT,PARTIDO DEMOCRATICO TRABALHISTA,-1,,,830,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,MT,MT,5,-1,-1,GABRIEL NOVIS NEVES,,SENADOR,-1,,2,DEFERIDO,2,SUPLENTE,1,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,,,51163,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,MT,MT,5,-1,-1,JOSE GARCIA NETO,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,5,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,106734,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,MT,MT,5,-1,-1,ROBERTO OLIVEIRA CAMPOS,,SENADOR,-1,,2,DEFERIDO,1,ELEITO,1,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,,,147203,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,MT,MT,5,-1,-1,VICENTE BEZERRA NETO,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,5,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,71850,2.0,MASCULINO
