DT_GERACAO,HH_GERACAO,ANO_ELEICAO,NR_TURNO,DS_ELEICAO,SG_UF,SG_UE,CD_CARGO,NR_CANDIDATO,SQ_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_CARGO,CD_SIT_CAND_SUPERIOR,DS_SIT_CAND_SUPERIOR,CD_SIT_CANDIDATO,DS_SIT_CANDIDATO,CD_SIT_CAND_TOT,DS_SIT_CAND_TOT,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,SQ_LEGENDA,NM_COLIGACAO,DS_COMPOSICAO_COLIGACAO,QT_VOTOS_NOMINAIS,CD_GENERO,DS_GENERO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,TP_ABRANGENCIA,CD_MUNICIPIO,NR_ZONA,NR_IDADE_DATA_POSSE,DT_NASCIMENTO,NR_TITULO_ELEITORAL_CANDIDATO,NM_SOCIAL_CANDIDATO,CD_DETALHE_SITUACAO_CAND,DS_DETALHE_SITUACAO_CAND,CD_CBO,CD_MUN_IBGE
24/4/2014,19:52:11,1990,1,ELEICOES 1990,AM,AM,3,15,-1,GILBERTO MESTRINHO DE M. RAPOSO,NULO,GOVERNADOR,-1,NULO,2,DEFERIDO,1,ELEITO,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,ALIANCA DEMOCRATICA DO AMAZONAS,PDC /  PL /  PFL /  PTR /  PCN /  PSD /  PMDB,332085,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,AM,AM,3,33,-1,JOSE MARIO DA FROTA MOREIRA,NULO,GOVERNADOR,-1,NULO,2,DEFERIDO,4,NAO ELEITO,33,PMN,PARTIDO DA MOBILIZACAO NACIONAL,-1,FRENTE AMPLA PARA LIBERTACAO DO AMAZONAS,PRONA /  PMN / PRP /  PSC /  PDS /  PST,34529,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,AM,AM,3,36,-1,DEUSAMIR PEREIRA,NULO,GOVERNADOR,-1,NULO,2,DEFERIDO,4,NAO ELEITO,36,PRN,PARTIDO DA RECONSTRUCAO NACIONAL,-1,NULO,PRN,7281,4,FEMININO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,AM,AM,3,45,-1,WILSON DUARTE ALECRIM,NULO,GOVERNADOR,-1,NULO,2,DEFERIDO,4,NAO ELEITO,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,-1,FRENTE DE OPOSICAO POPULAR,PSDB /  PDT /  PT /  PSB /  PCdoB /  PCB,202976,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,AM,AM,5,131,-1,MARLENE RIBEIRO PARDO,NULO,SENADOR,-1,NULO,2,DEFERIDO,4,NAO ELEITO,13,PT,PARTIDO DOS TRABALHADORES,-1,FRENTE DE OPOSICAO POPULAR,PSDB /  PDT /  PT /  PSB /  PCdoB /  PCB,109376,4,FEMININO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,AM,AM,5,171,-1,AMAZONINO ARMANDO MENDES,NULO,SENADOR,-1,NULO,2,DEFERIDO,1,ELEITO,17,PDC,PARTIDO DEMOCRATA CRISTAO,-1,ALIANCA DEMOCRATICA DO AMAZONAS,PDC /  PL /  PFL /  PTR /  PCN /  PSD /  PMDB,338631,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,AM,AM,5,201,-1,JOSE JEFFERSON CARPINTEIRO PERES,NULO,SENADOR,-1,NULO,2,DEFERIDO,4,NAO ELEITO,20,PSC,PARTIDO SOCIAL CRISTAO,-1,FRENTE AMPLA PARA LIBERTACAO DO AMAZONAS,PRONA /  PMN /  PDS /  PRP /  PSC /  PST,80207,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,AM,AM,5,361,-1,JORGE TUFIC ALAUZO,NULO,SENADOR,-1,NULO,2,DEFERIDO,4,NAO ELEITO,36,PRN,PARTIDO DA RECONSTRUCAO NACIONAL,-1,NULO,PRN,6264,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,AM,AM,6,1103,-1,MANOEL DA PAIXAO TAVARES DA GRACA,NULO,DEPUTADO FEDERAL,-1,NULO,2,DEFERIDO,4,NAO ELEITO,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,FRENTE AMPLA PARA LIBERTACAO DO AMAZONAS,PDS /  PSC /  PMN /  PRN /  PRP /  PST /  PRONA,1704,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,AM,AM,6,1212,-1,ELIZABETH AZIZE,NULO,DEPUTADO FEDERAL,-1,NULO,2,DEFERIDO,1,ELEITO,12,PDT,PARTIDO DEMOCRATICO TRABALHISTA,-1,FRENTE DE OPOSICAO POPULAR,PDT /  PT /  PCB /  PSB /  PSDB /  PCdoB,17025,4,FEMININO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,AM,AM,6,1313,-1,RICARDO MORAES DE SOUZA,NULO,DEPUTADO FEDERAL,-1,NULO,2,DEFERIDO,1,ELEITO,13,PT,PARTIDO DOS TRABALHADORES,-1,FRENTE DE OPOSICAO POPULAR,PDT /  PT /  PCB /  PSB /  PSDB /  PCdoB,17944,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,AM,AM,6,1333,-1,EGYDIO SCHWADE,NULO,DEPUTADO FEDERAL,-1,NULO,2,DEFERIDO,2,SUPLENTE,13,PT,PARTIDO DOS TRABALHADORES,-1,FRENTE DE OPOSICAO POPULAR,PDT /  PT /  PCB /  PSB /  PSDB /  PCdoB,3042,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,AM,AM,6,1501,-1,JOSE CEZARIO MENEZES DE BARROS,NULO,DEPUTADO FEDERAL,-1,NULO,2,DEFERIDO,2,SUPLENTE,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,ALIANCA DEMOCRATICA DO AMAZONAS,PMDB / PDC / PL / PFL / PTR / PCN / PSD,4007,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,AM,AM,6,1511,-1,JOAO THOME VERCOSA DE M. RAPOSO,NULO,DEPUTADO FEDERAL,-1,NULO,2,DEFERIDO,2,SUPLENTE,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,ALIANCA DEMOCRATICA DO AMAZONAS,PMDB / PDC / PL / PFL / PTR / PCN / PSD,14364,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,AM,AM,6,1515,-1,EULER ESTEVES RIBEIRO,NULO,DEPUTADO FEDERAL,-1,NULO,2,DEFERIDO,1,ELEITO,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,ALIANCA DEMOCRATICA DO AMAZONAS,PMDB / PDC / PL / PFL / PTR / PCN / PSD,15512,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,AM,AM,6,1518,-1,MIGUEL LUCIO CRUZ E SILVA,NULO,DEPUTADO FEDERAL,-1,NULO,2,DEFERIDO,2,SUPLENTE,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,ALIANCA DEMOCRATICA DO AMAZONAS,PMDB / PDC / PL / PFL / PTR / PCN / PSD,187,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,AM,AM,6,1520,-1,RAFAEL FARACO,NULO,DEPUTADO FEDERAL,-1,NULO,2,DEFERIDO,2,SUPLENTE,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,ALIANCA DEMOCRATICA DO AMAZONAS,PMDB / PDC / PL / PFL / PTR / PCN / PSD,1877,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,AM,AM,6,1540,-1,JOSE CARDOSO DUTRA,NULO,DEPUTADO FEDERAL,-1,NULO,2,DEFERIDO,1,ELEITO,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,ALIANCA DEMOCRATICA DO AMAZONAS,PMDB / PDC / PL / PFL / PTR / PCN / PSD,23117,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,AM,AM,6,1707,-1,PAUDERNEY TOMA Z AVELINO,NULO,DEPUTADO FEDERAL,-1,NULO,2,DEFERIDO,1,ELEITO,17,PDC,PARTIDO DEMOCRATA CRISTAO,-1,ALIANCA DEMOCRATICA DO AMAZONAS,PMDB / PDC / PL / PFL / PTR / PCN / PSD,15659,-1,NULO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,AM,AM,6,1717,-1,CARLOS EDUARDO DE SOUZA BRAGA,NULO,DEPUTADO FEDERAL,-1,NULO,2,DEFERIDO,1,ELEITO,17,PDC,PARTIDO DEMOCRATA CRISTAO,-1,ALIANCA DEMOCRATICA DO AMAZONAS,PMDB / PDC / PL / PFL / PTR / PCN / PSD,38945,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,AM,AM,6,1718,-1,PAULO ROBERTO DE MORAES R. FIGUEIREDO,NULO,DEPUTADO FEDERAL,-1,NULO,2,DEFERIDO,2,SUPLENTE,17,PDC,PARTIDO DEMOCRATA CRISTAO,-1,ALIANCA DEMOCRATICA DO AMAZONAS,PMDB / PDC / PL / PFL / PTR / PCN / PSD,4501,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,AM,AM,6,1730,-1,JOSE MARIA MUNIZ DE CASTRO,NULO,DEPUTADO FEDERAL,-1,NULO,2,DEFERIDO,2,SUPLENTE,17,PDC,PARTIDO DEMOCRATA CRISTAO,-1,ALIANCA DEMOCRATICA DO AMAZONAS,PMDB / PDC / PL / PFL / PTR / PCN / PSD,4884,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,AM,AM,6,1733,-1,EUNICE MAFALDA MICHILES,NULO,DEPUTADO FEDERAL,-1,NULO,2,DEFERIDO,2,SUPLENTE,17,PDC,PARTIDO DEMOCRATA CRISTAO,-1,ALIANCA DEMOCRATICA DO AMAZONAS,PMDB / PDC / PL / PFL / PTR / PCN / PSD,10083,4,FEMININO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,AM,AM,6,2020,-1,JOSE EDUARDO SEFFAIR BULBOL,NULO,DEPUTADO FEDERAL,-1,NULO,2,DEFERIDO,4,NAO ELEITO,20,PSC,PARTIDO SOCIAL CRISTAO,-1,FRENTE AMPLA PARA LIBERTACAO DO AMAZONAS,PDS /  PSC /  PMN /  PRN /  PRP /  PST /  PRONA,1486,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,AM,AM,6,2202,-1,GERALDO MAR IA PINHEIRO MACENA,NULO,DEPUTADO FEDERAL,-1,NULO,2,DEFERIDO,2,SUPLENTE,22,PL,PARTIDO LIBERAL,-1,ALIANCA DEMOCRATICA DO AMAZONAS,PMDB / PDC / PL / PFL / PTR / PCN / PSD,546,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,AM,AM,6,2222,-1,MANOEL HENRIOUES RIBEIRO,NULO,DEPUTADO FEDERAL,-1,NULO,2,DEFERIDO,2,SUPLENTE,22,PL,PARTIDO LIBERAL,-1,ALIANCA DEMOCRATICA DO AMAZONAS,PMDB / PDC / PL / PFL / PTR / PCN / PSD,3933,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,AM,AM,6,2288,-1,JOAO DE MENDONCA FURTADO,NULO,DEPUTADO FEDERAL,-1,NULO,2,DEFERIDO,2,SUPLENTE,22,PL,PARTIDO LIBERAL,-1,ALIANCA DEMOCRATICA DO AMAZONAS,PMDB / PDC / PL / PFL / PTR / PCN / PSD,1807,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,AM,AM,6,2332,-1,LUIZ MANOEL NAVARRO,NULO,DEPUTADO FEDERAL,-1,NULO,2,DEFERIDO,2,SUPLENTE,23,PCB,PARTIDO COMUNISTA BRASILEIRO,-1,FRENTE DE OPOSICAO POPULAR,PDT /  PT /  PCB /  PSB /  PSDB /  PCdoB,365,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,AM,AM,6,2510,-1,SADIE RODRIGUES HAUACHE,NULO,DEPUTADO FEDERAL,-1,NULO,2,DEFERIDO,2,SUPLENTE,25,PFL,PARTIDO DA FRENTE LIBERAL ,-1,ALIANCA DEMOCRATICA DO AMAZONAS,PMDB / PDC / PL / PFL / PTR / PCN / PSD,5354,-1,NULO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,AM,AM,6,2513,-1,CLAUDIO DO CARMO CHAVES,NULO,DEPUTADO FEDERAL,-1,NULO,2,DEFERIDO,2,SUPLENTE,25,PFL,PARTIDO DA FRENTE LIBERAL ,-1,ALIANCA DEMOCRATICA DO AMAZONAS,PMDB / PDC / PL / PFL / PTR / PCN / PSD,12812,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
