DT_GERACAO,HH_GERACAO,ANO_ELEICAO,NR_TURNO,DS_ELEICAO,SG_UF,SG_UE,CD_CARGO,NR_CANDIDATO,SQ_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_CARGO,CD_SIT_CAND_SUPERIOR,DS_SIT_CAND_SUPERIOR,CD_SIT_CANDIDATO,DS_SIT_CANDIDATO,CD_SIT_CAND_TOT,DS_SIT_CAND_TOT,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,SQ_LEGENDA,NM_COLIGACAO,DS_COMPOSICAO_COLIGACAO,QT_VOTOS_NOMINAIS,CD_GENERO,DS_GENERO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,TP_ABRANGENCIA,CD_MUNICIPIO,NR_ZONA,NR_IDADE_DATA_POSSE,DT_NASCIMENTO,NR_TITULO_ELEITORAL_CANDIDATO,NM_SOCIAL_CANDIDATO,CD_DETALHE_SITUACAO_CAND,DS_DETALHE_SITUACAO_CAND,CD_CBO,CD_MUN_IBGE
24/4/2014,19:52:11,1990,1,ELEICOES 1990,AP,AP,3,12,-1,ANTONIO CABRAL DE CASTRO,NULO,GOVERNADOR,-1,NULO,2,DEFERIDO,4,NAO ELEITO,12,PDT,PARTIDO DEMOCRATICO TRABALHISTA,-1,NULO,PDT,1524,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,AP,AP,3,13,-1,GILSON UBIRATAN ROCHA,NULO,GOVERNADOR,-1,NULO,2,DEFERIDO,3,2o TURNO,13,PT,PARTIDO DOS TRABALHADORES,-1,FRENTE AMPLA DE LIBERTACAO DO AMAPA,PCB/ PSB/ PSDB/ PCdoB/ PT,27092,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,AP,AP,3,14,-1,ABELARDO DA SILVA VAZ,NULO,GOVERNADOR,-1,NULO,2,DEFERIDO,4,NAO ELEITO,14,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,AMAPA ESPERANCA,PDS/ PTB,3760,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,AP,AP,3,15,-1,BERNARDO RODRIGUES DE SOUZA,NULO,GOVERNADOR,-1,NULO,2,DEFERIDO,4,NAO ELEITO,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,NULO,PMDB,1253,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,AP,AP,3,17,-1,GUAIRACA CARVAO NUNES,NULO,GOVERNADOR,-1,NULO,2,DEFERIDO,4,NAO ELEITO,17,PDC,PARTIDO DEMOCRATA CRISTAO,-1,NULO,PDC,2094,-1,NULO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,AP,AP,3,25,-1,ANNIBAL BARCELLOS,NULO,GOVERNADOR,-1,NULO,2,DEFERIDO,3,2o TURNO,25,PFL,PARTIDO DA FRENTE LIBERAL ,-1,FRENTE LIBERAL DE RECONSTRUCAO,PST/ PSC/ PL/ PFL/ PRN/ PSD,36954,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,AP,AP,3,56,-1,JOAO BOSCO PAPALEO PAES,NULO,GOVERNADOR,-1,NULO,2,DEFERIDO,4,NAO ELEITO,56,PRONA,PARTIDO DE REEDIFICACAO DA ORDEM NACIONAL,-1,NULO,PRONA,16780,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,2,ELEICOES 1990,AP,AP,3,13,-1,GILSON UBIRATAN ROCHA,NULO,GOVERNADOR,-1,NULO,2,DEFERIDO,4,NAO ELEITO,13,PT,PARTIDO DOS TRABALHADORES,-1,FRENTE AMPLA DE LIBERTACAO DO AMAPA,PCB/ PSB/ PSDB/ PCdoB/ PT,29178,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,2,ELEICOES 1990,AP,AP,3,25,-1,ANNIBAL BARCELLOS,NULO,GOVERNADOR,-1,NULO,2,DEFERIDO,1,ELEITO,25,PFL,PARTIDO DA FRENTE LIBERAL ,-1,FRENTE LIBERAL DE RECONSTRUCAO,PST/ PSC/ PL/ PFL/ PRN/ PSD,59289,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,AP,AP,5,111,-1,MILTON SEGALA PAULETTO,NULO,SENADOR,-1,NULO,2,DEFERIDO,4,NAO ELEITO,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,AMAPA ESPERANCA,PDS/ PDC/ PRONA/ PTB,1274,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
