DT_GERACAO,HH_GERACAO,ANO_ELEICAO,NR_TURNO,DS_ELEICAO,SG_UF,SG_UE,CD_CARGO,NR_CANDIDATO,SQ_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_CARGO,CD_SIT_CAND_SUPERIOR,DS_SIT_CAND_SUPERIOR,CD_SIT_CANDIDATO,DS_SIT_CANDIDATO,CD_SIT_CAND_TOT,DS_SIT_CAND_TOT,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,SQ_LEGENDA,NM_COLIGACAO,DS_COMPOSICAO_COLIGACAO,QT_VOTOS_NOMINAIS,CD_GENERO,DS_GENERO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,TP_ABRANGENCIA,CD_MUNICIPIO,NR_ZONA,NR_IDADE_DATA_POSSE,DT_NASCIMENTO,NR_TITULO_ELEITORAL_CANDIDATO,NM_SOCIAL_CANDIDATO,CD_DETALHE_SITUACAO_CAND,DS_DETALHE_SITUACAO_CAND,CD_CBO,CD_MUN_IBGE
24/4/2014,19:52:11,1990,1,ELEICOES 1990,GO,GO,3,12.0,-1,IRAM SARAIVA,NULO,GOVERNADOR,-1,NULO,2,DEFERIDO,4,NAO ELEITO,12,PDT,PARTIDO DEMOCRATICO TRABALHISTA,-1,COLIGACAO POPULAR,PDT/ PSDB/ PCdoB/ PMN/ PSL,62372,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,GO,GO,3,13.0,-1,VALDI CAMARCIO BEZERRA,NULO,GOVERNADOR,-1,NULO,2,DEFERIDO,4,NAO ELEITO,13,PT,PARTIDO DOS TRABALHADORES,-1,PT/PSB,PT/ PSB,88836,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,GO,GO,3,15.0,-1,IRIS REZENDE MACHADO,NULO,GOVERNADOR,-1,NULO,2,DEFERIDO,1,ELEITO,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,MUTIRAO E PROGRESSO,PMDB/ PL/ PCB/ PTR,889927,4,FEMININO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,GO,GO,3,17.0,-1,PAULO ROBERTO CUNHA,NULO,GOVERNADOR,-1,NULO,2,DEFERIDO,4,NAO ELEITO,17,PDC,PARTIDO DEMOCRATA CRISTAO,-1,COLIGACAO ACORDA GOIAS,PDC/ PFL/ PRN/ PDS/ PTB/ PSD/ PRP/ PSC/ PST/ PTdoB,537111,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,GO,GO,5,131.0,-1,ATHOS PEREIRA DA SILVA,NULO,SENADOR,-1,NULO,2,DEFERIDO,4,NAO ELEITO,13,PT,PARTIDO DOS TRABALHADORES,-1,PT/PSB,PT/ PSB,101828,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,GO,GO,5,151.0,-1,ONOFRE QUINAN,NULO,SENADOR,-1,NULO,2,DEFERIDO,1,ELEITO,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,MUTIRAO E PROGRESSO,PMDB/ PL/ PCB/ PTR,633086,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,GO,GO,5,361.0,-1,PEDRO CHAVES CANEDO,NULO,SENADOR,-1,NULO,2,DEFERIDO,4,NAO ELEITO,36,PRN,PARTIDO DA RECONSTRUCAO NACIONAL,-1,COLIGACAO ACORDA GOIAS,PDC/ PFL/ PRN/ PDS/ PTB/ PSD/ PRP/ PSC/ PST/ PTdoB,621080,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,GO,GO,5,451.0,-1,MAURO NETTO,NULO,SENADOR,-1,NULO,2,DEFERIDO,4,NAO ELEITO,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,-1,COLIGACAO POPULAR,PDT/ PSDB/ PCdoB/ PMN/ PSL,38006,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,GO,GO,6,1105.0,-1,LUIZ DONIZETI SORATO,NULO,DEPUTADO FEDERAL,-1,NULO,2,DEFERIDO,2,SUPLENTE,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,COLIGACAO ACORDA GOIAS,PDC/ PFL/ PRN/ PDS/ PTB/ PSD/ PRP/ PSC/ PST/PTdoB,190,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,GO,GO,6,1107.0,-1,HERMES TRALDI NETO,NULO,DEPUTADO FEDERAL,-1,NULO,2,DEFERIDO,2,SUPLENTE,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,COLIGACAO ACORDA GOIAS,PDC/ PFL/ PRN/ PDS/ PTB/ PSD/ PRP/ PSC/ PST/PTdoB,4094,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
