DT_GERACAO,HH_GERACAO,ANO_ELEICAO,NR_TURNO,DS_ELEICAO,SG_UF,SG_UE,CD_CARGO,NR_CANDIDATO,SQ_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_CARGO,CD_SIT_CAND_SUPERIOR,DS_SIT_CAND_SUPERIOR,CD_SIT_CANDIDATO,DS_SIT_CANDIDATO,CD_SIT_CAND_TOT,DS_SIT_CAND_TOT,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,SQ_LEGENDA,NM_COLIGACAO,DS_COMPOSICAO_COLIGACAO,QT_VOTOS_NOMINAIS,CD_GENERO,DS_GENERO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,TP_ABRANGENCIA,CD_MUNICIPIO,NR_ZONA,NR_IDADE_DATA_POSSE,DT_NASCIMENTO,NR_TITULO_ELEITORAL_CANDIDATO,NM_SOCIAL_CANDIDATO,CD_DETALHE_SITUACAO_CAND,DS_DETALHE_SITUACAO_CAND,CD_CBO,CD_MUN_IBGE
24/4/2014,19:52:11,1990,1,ELEICOES 1990,PB,PB,3,11,-1,JOAO AGRIPINO DE VASCONCELOS ,JOAO AGRIPINO,GOVERNADOR,-1,NULO,2,DEFERIDO,4,NAO ELEITO,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,NULO,PDS/ PRN,137487,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,PB,PB,3,12,-1,WILSON LEITE BRAGA,WILSON BRAGA,GOVERNADOR,-1,NULO,2,DEFERIDO,3,2o TURNO,12,PDT,PARTIDO DEMOCRATICO TRABALHISTA,-1,NULO,PDT/ PTB/ PSC/ PL/ PFL/ PTR/ PMN/ PSD,498763,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,PB,PB,3,13,-1,GENIVAL VELOSO DE FRANCA,GENIVAL VELOSO DE FRANCA,GOVERNADOR,-1,NULO,2,DEFERIDO,4,NAO ELEITO,13,PT,PARTIDO DOS TRABALHADORES,-1,NULO,PT/ PCB/ PSB/ PCdoB,44719,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,PB,PB,3,15,-1,RONALDO JOSE DA CUNHA LIMA,RONALDO CUNHA LIMA,GOVERNADOR,-1,NULO,2,DEFERIDO,3,2o TURNO,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,NULO,PMDB/ PSDB/ PST,462562,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,PB,PB,3,17,-1,JOAO JURACY PALHANO FREIRE,JOAO JURACY PALHANO ,GOVERNADOR,-1,NULO,2,DEFERIDO,4,NAO ELEITO,17,PDC,PARTIDO DEMOCRATA CRISTAO,-1,NULO,PDC,6494,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,2,ELEICOES 1990,PB,PB,3,12,-1,WILSON LEITE BRAGA,WILSON BRAGA,GOVERNADOR,-1,NULO,2,DEFERIDO,4,NAO ELEITO,12,PDT,PARTIDO DEMOCRATICO TRABALHISTA,-1,NULO,PDT/ PTB/ PSC/ PL/ PFL/ PTR/ PMN/ PSD,571802,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,2,ELEICOES 1990,PB,PB,3,15,-1,RONALDO JOSE DA CUNHA LIMA,RONALDO CUNHA LIMA,GOVERNADOR,-1,NULO,2,DEFERIDO,1,ELEITO,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,NULO,PMDB/ PSDB/ PST,704375,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,PB,PB,5,111,-1,JOACIL DE BRITO PEREIRA,JOACIL DE BRITO ,SENADOR,-1,NULO,2,DEFERIDO,4,NAO ELEITO,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,NULO,PDS/ PRN,60706,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,PB,PB,5,121,-1,MARCONDES IRAN BENEVIDES ,MARCONDES GADELHA,SENADOR,-1,NULO,2,DEFERIDO,4,NAO ELEITO,12,PDT,PARTIDO DEMOCRATICO TRABALHISTA,-1,NULO,PDT/ PTB/ PSC/ PL/ PFL/ PTR/ PMN/ PSD,296278,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,PB,PB,5,151,-1,ANTONIO MARQUES DA SILVA MARIZ,ANTONIO MARQUES DA SILVA MARIZ,SENADOR,-1,NULO,2,DEFERIDO,1,ELEITO,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,NULO,PMDB/ PSDB/ PST,490376,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
