DT_GERACAO,HH_GERACAO,ANO_ELEICAO,NR_TURNO,DS_ELEICAO,SG_UF,SG_UE,CD_CARGO,NR_CANDIDATO,SQ_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_CARGO,CD_SIT_CAND_SUPERIOR,DS_SIT_CAND_SUPERIOR,CD_SIT_CANDIDATO,DS_SIT_CANDIDATO,CD_SIT_CAND_TOT,DS_SIT_CAND_TOT,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,SQ_LEGENDA,NM_COLIGACAO,DS_COMPOSICAO_COLIGACAO,QT_VOTOS_NOMINAIS,CD_GENERO,DS_GENERO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,TP_ABRANGENCIA,CD_MUNICIPIO,NR_ZONA,NR_IDADE_DATA_POSSE,DT_NASCIMENTO,NR_TITULO_ELEITORAL_CANDIDATO,NM_SOCIAL_CANDIDATO,CD_DETALHE_SITUACAO_CAND,DS_DETALHE_SITUACAO_CAND,CD_CBO,CD_MUN_IBGE
24/4/2014,19:52:11,1990,1,ELEICOES 1990,PI,PI,3,13,-1,ANTONIO RODRIGUES DE SOUZA NETO,NULO,GOVERNADOR,-1,NULO,2,DEFERIDO,4,NAO ELEITO,13,PT,PARTIDO DOS TRABALHADORES,-1,NULO,PDT/ PT/ PSB/ PCdoB,53485,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,PI,PI,3,25,-1,ANTONIO DE ALMEIDA FREITAS NETO,NULO,GOVERNADOR,-1,NULO,2,DEFERIDO,3,2o TURNO,25,PFL,PARTIDO DA FRENTE LIBERAL ,-1,FRENTE DE RECUPERACAO DO PIAUI,PDS/ PTB/ PSC/ PFL,466497,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,PI,PI,3,33,-1,FRANCISCO BARBOSA DE MACEDO,NULO,GOVERNADOR,-1,NULO,2,DEFERIDO,4,NAO ELEITO,33,PMN,PARTIDO DA MOBILIZACAO NACIONAL,-1,NULO,PMN,4935,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,PI,PI,3,45,-1,RAIMUNDO WALL FERRAZ,NULO,GOVERNADOR,-1,NULO,2,DEFERIDO,3,2o TURNO,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,-1,MOVIMENTO DE INTEGRACAO DO PIAUI,PMDB/ PDC/ PL/ PTR/ PRN/ PSDB,408910,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,2,ELEICOES 1990,PI,PI,3,25,-1,ANTONIO DE ALMEIDA FREITAS NETO,NULO,GOVERNADOR,-1,NULO,2,DEFERIDO,1,ELEITO,25,PFL,PARTIDO DA FRENTE LIBERAL ,-1,FRENTE DE RECUPERACAO DO PIAUI,PDS/ PTB/ PSC/ PFL,572243,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,2,ELEICOES 1990,PI,PI,3,45,-1,RAIMUNDO WALL FERRAZ,NULO,GOVERNADOR,-1,NULO,2,DEFERIDO,4,NAO ELEITO,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,-1,MOVIMENTO DE INTEGRACAO DO PIAUI,PMDB/ PDC/ PL/ PTR/ PRN/ PSDB,467015,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,PI,PI,5,111,-1,LUCIDIO PORTELLA NUNES,NULO,SENADOR,-1,NULO,2,DEFERIDO,1,ELEITO,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,FRENTE DE RECUPERACAO DO PIAUI,PDS/ PTB/ PSC/ PFL,373982,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,PI,PI,5,121,-1,FRANCISCO PEDROSA SILVA,NULO,SENADOR,-1,NULO,2,DEFERIDO,4,NAO ELEITO,12,PDT,PARTIDO DEMOCRATICO TRABALHISTA,-1,NULO,PDT/ PT/ PSB/ PCdoB,72026,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,PI,PI,5,331,-1,ANSELMO OLIVEIRA DE MORAES,NULO,SENADOR,-1,NULO,2,DEFERIDO,4,NAO ELEITO,33,PMN,PARTIDO DA MOBILIZACAO NACIONAL,-1,NULO,PMN,8076,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,PI,PI,5,361,-1,PAULO DE TARSO M. E FREITAS,NULO,SENADOR,-1,NULO,2,DEFERIDO,4,NAO ELEITO,36,PRN,PARTIDO DA RECONSTRUCAO NACIONAL,-1,MOVIMENTO DE INTEGRACAO DO PIAUI,PMDB/ PDC/ PL/ PTR/ PRN/ PSDB,307607,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
