DT_GERACAO,HH_GERACAO,ANO_ELEICAO,NR_TURNO,DS_ELEICAO,SG_UF,SG_UE,CD_CARGO,NR_CANDIDATO,SQ_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_CARGO,CD_SIT_CAND_SUPERIOR,DS_SIT_CAND_SUPERIOR,CD_SIT_CANDIDATO,DS_SIT_CANDIDATO,CD_SIT_CAND_TOT,DS_SIT_CAND_TOT,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,SQ_LEGENDA,NM_COLIGACAO,DS_COMPOSICAO_COLIGACAO,QT_VOTOS_NOMINAIS,CD_GENERO,DS_GENERO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,TP_ABRANGENCIA,CD_MUNICIPIO,NR_ZONA,NR_IDADE_DATA_POSSE,DT_NASCIMENTO,NR_TITULO_ELEITORAL_CANDIDATO,NM_SOCIAL_CANDIDATO,CD_DETALHE_SITUACAO_CAND,DS_DETALHE_SITUACAO_CAND,CD_CBO,CD_MUN_IBGE
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SE,SE,3,13.0,-1,JOSE EDUARDO DE BARROS DUTRA,NULO,GOVERNADOR,-1,NULO,2,DEFERIDO,4,NAO ELEITO,13,PT,PARTIDO DOS TRABALHADORES,-1,FRENTE SERGIPE POPULAR,PT/ PCdoB/ PSB,124050,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SE,SE,3,25.0,-1,JOAO ALVES FILHO,NULO,GOVERNADOR,-1,NULO,2,DEFERIDO,1,ELEITO,25,PFL,PARTIDO DA FRENTE LIBERAL ,-1,UNIAO POR SERGIPE,PDS/ PMDB/ PDC/ PL/ PFL/ PCN/ PMN/ PRN/ PRP/ PSDB,364819,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SE,SE,3,28.0,-1,GILBERTO SELLES DOS ANJOS,NULO,GOVERNADOR,-1,NULO,2,DEFERIDO,4,NAO ELEITO,28,PTR,PARTIDO TRABALHISTA RENOVADOR,-1,NULO,PTR,5897,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SE,SE,5,121.0,-1,CARLOS ALBERTO MENEZES,NULO,SENADOR,-1,NULO,2,DEFERIDO,4,NAO ELEITO,12,PDT,PARTIDO DEMOCRATICO TRABALHISTA,-1,NULO,PDT / PCB,118771,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SE,SE,5,281.0,-1,JUVIANO PACHECO DE SANTANA,NULO,SENADOR,-1,NULO,2,DEFERIDO,4,NAO ELEITO,28,PTR,PARTIDO TRABALHISTA RENOVADOR,-1,NULO,PTR,9981,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SE,SE,5,361.0,-1,ALBANO DO PRADO PIMENTEL FRANCO,NULO,SENADOR,-1,NULO,2,DEFERIDO,1,ELEITO,36,PRN,PARTIDO DA RECONSTRUCAO NACIONAL,-1,UNIAO POR SERGIPE,PDS/ PMDB/ PDC/ PL / PFL/ PCN/ PMN/ PRN/ PRP/ PSDB,278862,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SE,SE,5,401.0,-1,CLOVIS BARBOSA DE MELO,NULO,SENADOR,-1,NULO,2,DEFERIDO,4,NAO ELEITO,40,PSB,PARTIDO SOCIALISTA BRASILEIRO,-1,FRENTE SERGIPE POPULAR,PT/ PCdoB/ PSB,23806,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SE,SE,6,1110.0,-1,FERNANDO ALMEIDA BARBOSA,NULO,DEPUTADO FEDERAL,-1,NULO,2,DEFERIDO,2,SUPLENTE,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,UNIDOS POR SERGIPE,PDS/ PMDB/ PL/ PRP,216,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SE,SE,6,1111.0,-1,REGES ALMEIDA MEIRA,NULO,DEPUTADO FEDERAL,-1,NULO,2,DEFERIDO,2,SUPLENTE,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,UNIDOS POR SERGIPE,PDS/ PMDB/ PL/ PRP,3878,2,MASCULINO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SE,SE,6,1112.0,-1,ANDRELINA QUARANTA BARBOSA,NULO,DEPUTADO FEDERAL,-1,NULO,2,DEFERIDO,2,SUPLENTE,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,UNIDOS POR SERGIPE,PDS/ PMDB/ PL/ PRP,389,4,FEMININO,2,ELEICOES ORDINARIAS,ESTADUAIS,-1,-1,-1,NULO,-1,NULO,-1,NULO,-1,-1
