DT_GERACAO,HH_GERACAO,ANO_ELEICAO,NR_TURNO,DS_ELEICAO,SG_UF,SG_UE,CODIGO_CARGO,NUM_CANDIDATO,SQ_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_CARGO,COD_SIT_CAND_SUPERIOR,DESC_SIT_CAND_SUPERIOR,CODIGO_SIT_CANDIDATO,DESC_SIT_CANDIDATO,CODIGO_SIT_CAND_TOT,DESC_SIT_CAND_TOT,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,SEQUENCIAL_LEGENDA,NOME_COLIGACAO,COMPOSICAO_LEGENDA,TOTAL_VOTOS,CD_GENERO,DS_GENERO
29/4/2014,12:50:24,1947,1,ELEICOES 1947,AM,AM,3,-1,-1,LEOPOLDO AMORIM DA SILVA NEVES,,GOVERNADOR,-1,,2,DEFERIDO,1,ELEITO,-1,,,-1,,UDN / PTB,14578,2.0,MASCULINO
29/4/2014,12:50:24,1947,1,ELEICOES 1947,AM,AM,3,-1,-1,RUY ARAUJO,,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PSD,PARTIDO SOCIAL DEMOCRATICO,-1,,PSD,9025,2.0,MASCULINO
29/4/2014,12:50:24,1947,1,ELEICOES 1947,AM,AM,5,-1,-1,LEOPOLDO TAVARES DA CUINHA MELO,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,,PTB,9597,2.0,MASCULINO
29/4/2014,12:50:24,1947,1,ELEICOES 1947,AM,AM,5,-1,-1,MANUEL SEVERIANO NUNES,,SENADOR,-1,,2,DEFERIDO,1,ELEITO,-1,,,-1,,UDN / PTB,12573,2.0,MASCULINO
29/4/2014,12:50:24,1947,1,ELEICOES 1947,AM,AM,6,-1,-1,ANTONIO RODRIGUES MOURAO VIEIRA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,,,-1,,UDN / PTB,5792,2.0,MASCULINO
29/4/2014,12:50:24,1947,1,ELEICOES 1947,AM,AM,6,-1,-1,VIVALDO PAULA LIMA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,,,-1,,UDN / PTB,6660,2.0,MASCULINO
29/4/2014,12:50:24,1947,1,ELEICOES 1947,AM,AM,7,-1,-1,ABDUL SAYOL DE SA PEIXOTO,,DEPUTADO ESTADUAL,-1,,2,DEFERIDO,1,ELEITO,-1,UDN,UNIAO DEMOCRATICA NACIONAL,-1,,UDN,325,2.0,MASCULINO
29/4/2014,12:50:24,1947,1,ELEICOES 1947,AM,AM,7,-1,-1,ACACIO METON DE ALENCAR,,DEPUTADO ESTADUAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,UDN,UNIAO DEMOCRATICA NACIONAL,-1,,UDN,150,2.0,MASCULINO
29/4/2014,12:50:24,1947,1,ELEICOES 1947,AM,AM,7,-1,-1,ADERSON ANDRADE DE MENEZES,,DEPUTADO ESTADUAL,-1,,2,DEFERIDO,1,ELEITO,-1,PSD,PARTIDO SOCIAL DEMOCRATICO,-1,,PSD,368,2.0,MASCULINO
29/4/2014,12:50:24,1947,1,ELEICOES 1947,AM,AM,7,-1,-1,ALEXANDRE MONTORIL,,DEPUTADO ESTADUAL,-1,,2,DEFERIDO,1,ELEITO,-1,PSD,PARTIDO SOCIAL DEMOCRATICO,-1,,PSD,603,2.0,MASCULINO
29/4/2014,12:50:24,1947,1,ELEICOES 1947,AM,AM,7,-1,-1,ALFREDO EULIPES JACKSON CABRAL,,DEPUTADO ESTADUAL,-1,,2,DEFERIDO,1,ELEITO,-1,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,,PTB,239,2.0,MASCULINO
