DT_GERACAO,HH_GERACAO,ANO_ELEICAO,NR_TURNO,DS_ELEICAO,SG_UF,SG_UE,CODIGO_CARGO,NUM_CANDIDATO,SQ_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_CARGO,COD_SIT_CAND_SUPERIOR,DESC_SIT_CAND_SUPERIOR,CODIGO_SIT_CANDIDATO,DESC_SIT_CANDIDATO,CODIGO_SIT_CAND_TOT,DESC_SIT_CAND_TOT,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,SEQUENCIAL_LEGENDA,NOME_COLIGACAO,COMPOSICAO_LEGENDA,TOTAL_VOTOS,CD_GENERO,DS_GENERO
12/3/2014,18:20:37,1950,1,ELEICOES 1950,RN,BR,1,-1,-1,EDUARDO GOMES,BRIGADEIRO EDUARDO GOMES,PRESIDENTE,-1,,2,DEFERIDO,4,NAO ELEITO,-1,UDN,UNIAO DEMOCRATICA NACIONAL,-1,,PL / PRP / UDN,45731,2.0,MASCULINO
12/3/2014,18:20:37,1950,1,ELEICOES 1950,RN,BR,1,-1,-1,JOAO  MANGABEIRA,JOAO MANGABEIRA,PRESIDENTE,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PSB,PARTIDO SOCIALISTA BRASILEIRO,-1,,PSB,34,2.0,MASCULINO
12/3/2014,18:20:37,1950,1,ELEICOES 1950,RN,BR,1,-1,-1,GETULIO DORNELLES VARGAS,GETULIO VARGAS,PRESIDENTE,-1,,2,DEFERIDO,1,ELEITO,-1,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,,PTB / PSP,86378,2.0,MASCULINO
12/3/2014,18:20:37,1950,1,ELEICOES 1950,RN,BR,1,-1,-1,CHRISTIANO MONTEIRO MACHADO,CHRISTIANO MACHADO,PRESIDENTE,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PSD,PARTIDO SOCIAL DEMOCRATICO,-1,,PSD / PRB /  PR / PST,37831,2.0,MASCULINO
12/3/2014,18:20:37,1950,1,ELEICOES 1950,RN,BR,2,-1,-1,ALTINO ARANTES MARQUES,ALTINO ARANTES,VICE-PRESIDENTE,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PSD,PARTIDO SOCIAL DEMOCRATICO,-1,,PRB / PR / PSD,7433,2.0,MASCULINO
12/3/2014,18:20:37,1950,1,ELEICOES 1950,RN,BR,2,-1,-1,JOAO CAFE FILHO,CAFE FILHO,VICE-PRESIDENTE,-1,,2,DEFERIDO,1,ELEITO,-1,PSP,PARTIDO SOCIAL PROGRESSISTA,-1,,PTB / PSP,89607,2.0,MASCULINO
12/3/2014,18:20:37,1950,1,ELEICOES 1950,RN,BR,2,-1,-1,ODILON DUARTE BRAGA,ODILON BRAGA,VICE-PRESIDENTE,-1,,2,DEFERIDO,4,NAO ELEITO,-1,UDN,UNIAO DEMOCRATICA NACIONAL,-1,,PL / PRP / UDN,43513,2.0,MASCULINO
12/3/2014,18:20:37,1950,1,ELEICOES 1950,RN,BR,2,-1,-1,ALIPIO CORREA NETTO,ALIPIO CORREA,VICE-PRESIDENTE,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PSB,PARTIDO SOCIALISTA BRASILEIRO,-1,,PSB,3,2.0,MASCULINO
12/3/2014,18:20:37,1950,1,ELEICOES 1950,RN,BR,2,-1,-1,VITORINO DE BRITO FREIRE,VITORINO FREIRE,VICE-PRESIDENTE,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PST,PARTIDO SOCIAL TRABALHISTA,-1,,PTN / PST,22861,2.0,MASCULINO
12/3/2014,13:14:50,1950,1,ELEICOES 1950,RN,RN,3,-1,-1,JERONIMO DIX-SEPT ROSADO MAIA,,GOVERNADOR,-1,,2,DEFERIDO,1,ELEITO,-1,,,-1,ALIANCA DEMOCRATICA,PSD / PR / PSP,101690,2.0,MASCULINO
