DT_GERACAO,HH_GERACAO,ANO_ELEICAO,NR_TURNO,DS_ELEICAO,SG_UF,SG_UE,CODIGO_CARGO,NUM_CANDIDATO,SQ_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_CARGO,COD_SIT_CAND_SUPERIOR,DESC_SIT_CAND_SUPERIOR,CODIGO_SIT_CANDIDATO,DESC_SIT_CANDIDATO,CODIGO_SIT_CAND_TOT,DESC_SIT_CAND_TOT,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,SEQUENCIAL_LEGENDA,NOME_COLIGACAO,COMPOSICAO_LEGENDA,TOTAL_VOTOS,CD_GENERO,DS_GENERO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,DF,DF,5,-1,-1,AGUINALDO CAIADO DE CASTRO,,SENADOR,-1,,2,DEFERIDO,1,ELEITO,-1,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,,PTB,331704,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,DF,DF,5,-1,-1,GILBERTO MARINHO,,SENADOR,-1,,2,DEFERIDO,1,ELEITO,-1,,,-1,,PSD / PRT,260463,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,DF,DF,5,-1,-1,HAMILTON NOGUEIRA,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,UDN,UNIAO DEMOCRATICA NACIONAL,-1,,UDN,250931,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,DF,DF,5,-1,-1,MOZART B. PEREIRA DO LAGO,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PSP,PARTIDO SOCIAL PROGRESSISTA,-1,,PSP,256822,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,DF,DF,6,-1,-1,ABELLARD JOSE DE FRANCA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PSD,PARTIDO SOCIAL DEMOCRATICO,-1,,PSD,1006,,FEMININO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,DF,DF,6,-1,-1,ACELIO CONTINO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PRT,PARTIDO RURAL TRABALHISTA,-1,,PRT,1326,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,DF,DF,6,-1,-1,ADALBERTO C. DE SANTANA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PSP,PARTIDO SOCIAL PROGRESSISTA,-1,,PSP,3626,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,DF,DF,6,-1,-1,ADAMASTOR DE OLIVEIRA LIMA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,,PTB,936,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,DF,DF,6,-1,-1,ADAUCTO LUCIO CARDOSO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,,,-1,ALIANCA POPULAR,PL / PR / UDN,6401,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,DF,DF,6,-1,-1,ADOLPHO A. SALDANHA JUNIOR,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PRT,PARTIDO RURAL TRABALHISTA,-1,,PRT,380,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,DF,DF,6,-1,-1,AGLIBERTO DA CUNHA FERREIRA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PSD,PARTIDO SOCIAL DEMOCRATICO,-1,,PSD,178,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,DF,DF,6,-1,-1,AGUINALDO COSTA PEREIRA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,,,-1,ALIANCA POPULAR,PL / PR / UDN,3278,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,DF,DF,6,-1,-1,ALAOR TEIXEIRA DE GODOI,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PDC,PARTIDO DEMOCRATA CRISTAO,-1,,PDC,484,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,DF,DF,6,-1,-1,ALBERTO DOURADO LOPES,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PSD,PARTIDO SOCIAL DEMOCRATICO,-1,,PSD,1470,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,DF,DF,6,-1,-1,ALBERTO SIMON SALAMA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,4,NAO ELEITO,-1,,,-1,FRENTE TRABALHISTA NACIONAL,PST / PTN,523,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,DF,DF,6,-1,-1,ALCIDES DE BARROS PAIVA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,4,NAO ELEITO,-1,,,-1,FRENTE TRABALHISTA NACIONAL,PST / PTN,198,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,DF,DF,6,-1,-1,ALEXANDRE ROMER,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PSB,PARTIDO SOCIALISTA BRASILEIRO,-1,,PSB,149,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,DF,DF,6,-1,-1,ALFREDO DAVILA LIMA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PDC,PARTIDO DEMOCRATA CRISTAO,-1,,PDC,1959,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,DF,DF,6,-1,-1,ALFREDO FERRAZ SOSTENES,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,4,NAO ELEITO,-1,,,-1,FRENTE TRABALHISTA NACIONAL,PST / PTN,728,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,DF,DF,6,-1,-1,ALFREDO PEREIRA REGO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PRT,PARTIDO RURAL TRABALHISTA,-1,,PRT,177,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,DF,DF,6,-1,-1,ALIX RIBEIRO MOSS,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,4,NAO ELEITO,-1,,,-1,FRENTE TRABALHISTA NACIONAL,PST / PTN,1141,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,DF,DF,6,-1,-1,ALMIR BONFIM DE ANDRADE,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PSD,PARTIDO SOCIAL DEMOCRATICO,-1,,PSD,856,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,DF,DF,6,-1,-1,AMALIA CORDEIRO SOARES,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PDC,PARTIDO DEMOCRATA CRISTAO,-1,,PDC,74,4.0,FEMININO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,DF,DF,6,-1,-1,AMELIO DIAS DE MORAES,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PRT,PARTIDO RURAL TRABALHISTA,-1,,PRT,132,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,DF,DF,6,-1,-1,ANESIO FROTA AGUIAR,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,,,-1,ALIANCA POPULAR,PL / PR / UDN,5926,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,DF,DF,6,-1,-1,ANTONIO AUGUSTO FERNANDES,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PRT,PARTIDO RURAL TRABALHISTA,-1,,PRT,1069,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,DF,DF,6,-1,-1,ANTONIO BRUZZI DE MENDONCA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,PRT,PARTIDO RURAL TRABALHISTA,-1,,PRT,45137,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,DF,DF,6,-1,-1,ANTONIO DE P. CHAGAS FREITAS,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,PSP,PARTIDO SOCIAL PROGRESSISTA,-1,,PSP,11250,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,DF,DF,6,-1,-1,ANTONIO MARQUES DE ARAUJO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PSD,PARTIDO SOCIAL DEMOCRATICO,-1,,PSD,4120,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,DF,DF,6,-1,-1,AQUILINO MOTTA JUNIOR,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PRT,PARTIDO RURAL TRABALHISTA,-1,,PRT,498,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,DF,DF,6,-1,-1,ARISTOTELES FERREIRA PIRES,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,,PTB,659,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,DF,DF,6,-1,-1,ARMANDO DELGADO DE MORAIS,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PDC,PARTIDO DEMOCRATA CRISTAO,-1,,PDC,221,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,DF,DF,6,-1,-1,ARTHUR F. DE SOUZA FILHO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PSD,PARTIDO SOCIAL DEMOCRATICO,-1,,PSD,703,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,DF,DF,6,-1,-1,AUGUSTO AMARAL PEIXOTO JR,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PSD,PARTIDO SOCIAL DEMOCRATICO,-1,,PSD,7104,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,DF,DF,6,-1,-1,BENEDITO MANSOS MERGULHAO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PSD,PARTIDO SOCIAL DEMOCRATICO,-1,,PSD,1905,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,DF,DF,6,-1,-1,BENJAMIM MIGUEL FARAH,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,PSP,PARTIDO SOCIAL PROGRESSISTA,-1,,PSP,15471,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,DF,DF,6,-1,-1,BRENO DHALIA DA SILVEIRA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PSB,PARTIDO SOCIALISTA BRASILEIRO,-1,,PSB,10140,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,DF,DF,6,-1,-1,BRENO DOS SANTOS,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,4,NAO ELEITO,-1,,,-1,FRENTE TRABALHISTA NACIONAL,PST / PTN,115,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,DF,DF,6,-1,-1,CAIO MARIO DE M. MIRANDA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PSP,PARTIDO SOCIAL PROGRESSISTA,-1,,PSP,1993,2.0,MASCULINO
