DT_GERACAO,HH_GERACAO,ANO_ELEICAO,NR_TURNO,DS_ELEICAO,SG_UF,SG_UE,CODIGO_CARGO,NUM_CANDIDATO,SQ_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_CARGO,COD_SIT_CAND_SUPERIOR,DESC_SIT_CAND_SUPERIOR,CODIGO_SIT_CANDIDATO,DESC_SIT_CANDIDATO,CODIGO_SIT_CAND_TOT,DESC_SIT_CAND_TOT,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,SEQUENCIAL_LEGENDA,NOME_COLIGACAO,COMPOSICAO_LEGENDA,TOTAL_VOTOS,CD_GENERO,DS_GENERO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,PB,PB,5,-1,-1,ARGEMIRO DE FIGUEIREDO,,SENADOR,-1,,2,DEFERIDO,1,ELEITO,-1,,,-1,,PSP / UDN,109416,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,PB,PB,5,-1,-1,FRANCISCO DE A. CHATEAUBRIAND B. DE MELO,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,,,-1,,PSD / PL,103713,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,PB,PB,5,-1,-1,HERMANO ALFREDO NETO DE SA,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,,PTB,9193,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,PB,PB,5,-1,-1,JOAO CAVALCANTI DE ARRUDA,,SENADOR,-1,,2,DEFERIDO,1,ELEITO,-1,,,-1,,PSP / UDN,110000,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,PB,PB,5,-1,-1,JOSE DEMETRIO DE ALB. E SILVA,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PST,PARTIDO SOCIAL TRABALHISTA,-1,,PST,475,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,PB,PB,5,-1,-1,VIRGINIO VELOSO BORGES,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,,,-1,,PSD / PL,101871,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,PB,PB,6,-1,-1,ALCIDES VIEIRA CARNEIRO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,,,-1,COLIGACAO DEMOCRATICA PARAIBANA,PSD / PL,6851,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,PB,PB,6,-1,-1,ANTONIO BATISTA SANTIAGO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,UDN,UNIAO DEMOCRATICA NACIONAL,-1,,UDN,1426,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,PB,PB,6,-1,-1,ANTONIO PEREIRA DINIZ,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,,,-1,COLIGACAO DEMOCRATICA PARAIBANA,PSD / PL,14235,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,PB,PB,6,-1,-1,APOLONIO SALES DE MIRANDA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,,PTB,6292,2.0,MASCULINO
