DT_GERACAO,HH_GERACAO,ANO_ELEICAO,NR_TURNO,DS_ELEICAO,SG_UF,SG_UE,CODIGO_CARGO,NUM_CANDIDATO,SQ_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_CARGO,COD_SIT_CAND_SUPERIOR,DESC_SIT_CAND_SUPERIOR,CODIGO_SIT_CANDIDATO,DESC_SIT_CANDIDATO,CODIGO_SIT_CAND_TOT,DESC_SIT_CAND_TOT,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,SEQUENCIAL_LEGENDA,NOME_COLIGACAO,COMPOSICAO_LEGENDA,TOTAL_VOTOS,CD_GENERO,DS_GENERO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,3,-1,-1,ALBERTO PASQUALINI,,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,,PTB,356183,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,3,-1,-1,ILDO MENEGHETTI,,GOVERNADOR,-1,,2,DEFERIDO,1,ELEITO,-1,,,-1,FRENTE DEMOCRATICA,PSD / UDN / PL,386821,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,3,-1,-1,JOAO PEREIRA DE SAMPAIO,,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PSB,PARTIDO SOCIALISTA BRASILEIRO,-1,,PSB,73,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,3,-1,-1,JOSE DIOGO BROCHADO DA ROCHA,,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PSP,PARTIDO SOCIAL PROGRESSISTA,-1,,PSP,7396,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,3,-1,-1,WOLFRAN METZLER,,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PRP,PARTIDO DE REPRESENTACAO POPULAR,-1,,PRP,71110,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,5,-1,-1,ARMANDO PEREIRA DA CAMARA,,SENADOR,-1,,2,DEFERIDO,1,ELEITO,-1,,,-1,FRENTE DEMOCRATICA,PSD / UDN / PL,402438,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,5,-1,-1,DANIEL KRIEGER,,SENADOR,-1,,2,DEFERIDO,1,ELEITO,-1,,,-1,FRENTE DEMOCRATICA,PSD / UDN / PL,383010,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,5,-1,-1,JOAO BELCHIOR M. GOULART,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,,PTB,346198,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,5,-1,-1,NESTOR CONTREIRAS RODRIGUES,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PRP,PARTIDO DE REPRESENTACAO POPULAR,-1,,PRP,60814,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,5,-1,-1,RUY VITORINO RAMOS,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,,PTB,299188,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,5,-1,-1,TASSO BOLIVAR DIAS CORREA,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PSP,PARTIDO SOCIAL PROGRESSISTA,-1,,PSP,6892,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,6,-1,-1,ACCACIO VERDI,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PSP,PARTIDO SOCIAL PROGRESSISTA,-1,,PSP,247,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,6,-1,-1,ADEL BRAGA CARVALHO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,UDN,UNIAO DEMOCRATICA NACIONAL,-1,,UDN,2733,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,6,-1,-1,ADILIO MARTINS VIANNA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,,PTB,17063,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,6,-1,-1,ADY ANTONIO BODANEZE,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PL,PARTIDO LIBERTADOR,-1,,PL,666,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,6,-1,-1,AFONSO DE ASSUMPCAO VIANNA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,,PTB,6793,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,6,-1,-1,ALBERTO PINTO DE AZEVEDO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PSP,PARTIDO SOCIAL PROGRESSISTA,-1,,PSP,1108,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,6,-1,-1,AMERICO GODOY ILHA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,PSD,PARTIDO SOCIAL DEMOCRATICO,-1,,PSD,14871,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,6,-1,-1,ANGELO PRAIA IRULEGUI,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PSB,PARTIDO SOCIALISTA BRASILEIRO,-1,,PSB,53,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,6,-1,-1,ANTONIO SIMAO SAAD RAHME ALLAN,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PRP,PARTIDO DE REPRESENTACAO POPULAR,-1,,PRP,367,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,6,-1,-1,ARISTOTELES BAUARD LUCAS DE LIMA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PSD,PARTIDO SOCIAL DEMOCRATICO,-1,,PSD,8147,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,6,-1,-1,ARNALDO FARIA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,UDN,UNIAO DEMOCRATICA NACIONAL,-1,,UDN,1363,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,6,-1,-1,ARNILDO JOSE SARTURI,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PSP,PARTIDO SOCIAL PROGRESSISTA,-1,,PSP,1417,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,6,-1,-1,AUGUSTO MEIRELLES DE CARVALHO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,UDN,UNIAO DEMOCRATICA NACIONAL,-1,,UDN,284,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,6,-1,-1,BERNARDO SIMOES FERNANDES,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PL,PARTIDO LIBERTADOR,-1,,PL,2176,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,6,-1,-1,BRUNO BORN,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,,PTB,6894,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,6,-1,-1,CARLOS CIPRIANI,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,,PTB,1892,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,6,-1,-1,CESAR PRIETTO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,,PTB,22919,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,6,-1,-1,CLOVIS PESTANA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,PSD,PARTIDO SOCIAL DEMOCRATICO,-1,,PSD,31250,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,6,-1,-1,CROACY CARVALHEIRO DE OLIVEIRA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,,PTB,14457,,FEMININO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,6,-1,-1,DANIEL AGOSTINHO FARACO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,PSD,PARTIDO SOCIAL DEMOCRATICO,-1,,PSD,19693,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,6,-1,-1,DANIEL DIPP,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,,PTB,12366,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,6,-1,-1,DERLY DE AZEVEDO CHAVES,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PSP,PARTIDO SOCIAL PROGRESSISTA,-1,,PSP,2376,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,6,-1,-1,DERLY MONTEIRO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PSP,PARTIDO SOCIAL PROGRESSISTA,-1,,PSP,1938,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,6,-1,-1,EDGAR LUIZ SCHNEIDER,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,PL,PARTIDO LIBERTADOR,-1,,PL,17015,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,6,-1,-1,EDMUNDO CASADO MARQUES,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PDC,PARTIDO DEMOCRATA CRISTAO,-1,,PDC,1187,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,6,-1,-1,EDUARDO ZASSO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PRP,PARTIDO DE REPRESENTACAO POPULAR,-1,,PRP,2874,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,6,-1,-1,FERNANDO DA COSTA GAMA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PDC,PARTIDO DEMOCRATA CRISTAO,-1,,PDC,2219,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,6,-1,-1,FERNANDO FERRARI,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,,PTB,39744,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,6,-1,-1,FIRMINO PAIM FILHO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PSD,PARTIDO SOCIAL DEMOCRATICO,-1,,PSD,2100,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,6,-1,-1,FRANCISCO DE ASSIS CORREA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PSP,PARTIDO SOCIAL PROGRESSISTA,-1,,PSP,76,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,6,-1,-1,FRANCISCO NUNES DE CARVALHO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PSP,PARTIDO SOCIAL PROGRESSISTA,-1,,PSP,1061,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,6,-1,-1,FRANCISCO RAMALHO DE ALMEIDA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,,PTB,1776,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,6,-1,-1,GERALDO GUIMARAES LINDGREN,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PSP,PARTIDO SOCIAL PROGRESSISTA,-1,,PSP,528,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,6,-1,-1,GOMERCINDO SOARES BRAGA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,,PTB,2445,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,6,-1,-1,GUIDO FERNANDO MONDIM,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PRP,PARTIDO DE REPRESENTACAO POPULAR,-1,,PRP,9121,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,6,-1,-1,HENRIQUE PAGNOCELLI,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,,PTB,7162,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,6,-1,-1,HERMES PEREIRA DE SOUZA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,PSD,PARTIDO SOCIAL DEMOCRATICO,-1,,PSD,29918,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,6,-1,-1,HUMBERTO GOBBI,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,,PTB,8798,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,6,-1,-1,ISRAEL RANGEL,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PL,PARTIDO LIBERTADOR,-1,,PL,127,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,6,-1,-1,JOAO AUGUSTO RODRIGUES,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,4,NAO ELEITO,-1,PSP,PARTIDO SOCIAL PROGRESSISTA,-1,,PSP,1366,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,6,-1,-1,JOAO BAPTISTA DA SILVA PEREIRA FILHO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,,PTB,6559,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,6,-1,-1,JOAO BAPTISTA FICO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,,PTB,9202,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,6,-1,-1,JOAO DE PAULA E SILVA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PRP,PARTIDO DE REPRESENTACAO POPULAR,-1,,PRP,2031,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,6,-1,-1,JOAO JOSE DE FREITAS LEAL,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PSD,PARTIDO SOCIAL DEMOCRATICO,-1,,PSD,1116,2.0,MASCULINO
12/2/2014,14:10:45,1954,1,ELEICAO 1954,RS,RS,6,-1,-1,JOAO LINDOLFO COSTA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PSD,PARTIDO SOCIAL DEMOCRATICO,-1,,PSD,4947,2.0,MASCULINO
