DT_GERACAO,HH_GERACAO,ANO_ELEICAO,NR_TURNO,DS_ELEICAO,SG_UF,SG_UE,CODIGO_CARGO,NUM_CANDIDATO,SQ_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_CARGO,COD_SIT_CAND_SUPERIOR,DESC_SIT_CAND_SUPERIOR,CODIGO_SIT_CANDIDATO,DESC_SIT_CANDIDATO,CODIGO_SIT_CAND_TOT,DESC_SIT_CAND_TOT,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,SEQUENCIAL_LEGENDA,NOME_COLIGACAO,COMPOSICAO_LEGENDA,TOTAL_VOTOS,CD_GENERO,DS_GENERO
4/12/2013,16:22:56,1958,1,ELEICAO 1958,PA,PA,5,-1,-1,AGOSTINHO DE MENEZES MONTEIRO,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,,,-1,PSD - PDC,PSD / PDC,88944,2.0,MASCULINO
4/12/2013,16:22:56,1958,1,ELEICAO 1958,PA,PA,5,-1,-1,ALEXANDRE ZACARIAS DA ASSUMPCAO,,SENADOR,-1,,2,DEFERIDO,1,ELEITO,-1,,,-1,PTB - CDP,PTB / PSP / PSB / PR,112729,2.0,MASCULINO
4/12/2013,16:22:56,1958,1,ELEICAO 1958,PA,PA,6,-1,-1,ANTONIO TEIXEIRAS GUEIROS,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PSD,PARTIDO SOCIAL DEMOCRATICO,-1,,PSD,6566,2.0,MASCULINO
4/12/2013,16:22:56,1958,1,ELEICAO 1958,PA,PA,6,-1,-1,ARMANDO DE SOUSA CORREA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,PSD,PARTIDO SOCIAL DEMOCRATICO,-1,,PSD,23679,2.0,MASCULINO
4/12/2013,16:22:56,1958,1,ELEICAO 1958,PA,PA,6,-1,-1,ARMANDO RODRIGUES CARNEIRO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,PSD,PARTIDO SOCIAL DEMOCRATICO,-1,,PSD,15609,2.0,MASCULINO
4/12/2013,16:22:56,1958,1,ELEICAO 1958,PA,PA,6,-1,-1,CLOVIS FERRO COSTA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,UDN,UNIAO DEMOCRATICA NACIONAL,-1,,UDN,20825,2.0,MASCULINO
4/12/2013,16:22:56,1958,1,ELEICAO 1958,PA,PA,6,-1,-1,DEODORO MACHADO DE MENDONCA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,,,-1,COLIGACAO DEMOCRATICA PARAENSE,PSP / PSB / PR,7555,2.0,MASCULINO
4/12/2013,16:22:56,1958,1,ELEICAO 1958,PA,PA,6,-1,-1,EPILOGO DE GONCALVES CAMPOS,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,UDN,UNIAO DEMOCRATICA NACIONAL,-1,,UDN,17783,2.0,MASCULINO
4/12/2013,16:22:56,1958,1,ELEICAO 1958,PA,PA,6,-1,-1,GABRIEL HERMES FILHO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,UDN,UNIAO DEMOCRATICA NACIONAL,-1,,UDN,18732,2.0,MASCULINO
4/12/2013,16:22:56,1958,1,ELEICAO 1958,PA,PA,6,-1,-1,HOMERO CARDOSO DE SA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PSD,PARTIDO SOCIAL DEMOCRATICO,-1,,PSD,833,2.0,MASCULINO
4/12/2013,16:22:56,1958,1,ELEICAO 1958,PA,PA,6,-1,-1,JACINTO TEIXEIRA ABEN ATHAR NETO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PSD,PARTIDO SOCIAL DEMOCRATICO,-1,,PSD,3083,2.0,MASCULINO
4/12/2013,16:22:56,1958,1,ELEICAO 1958,PA,PA,6,-1,-1,JOAO DE PAIVA MENEZES,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,PSD,PARTIDO SOCIAL DEMOCRATICO,-1,,PSD,10941,2.0,MASCULINO
4/12/2013,16:22:56,1958,1,ELEICAO 1958,PA,PA,6,-1,-1,JOAO MAFRA DO AMARAL,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,,,-1,COLIGACAO DEMOCRATICA PARAENSE,PSP / PSB / PR,244,2.0,MASCULINO
4/12/2013,16:22:56,1958,1,ELEICAO 1958,PA,PA,6,-1,-1,JOAO PAULO DE ALBUQUERQUE MARANHAO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,,,-1,COLIGACAO DEMOCRATICA PARAENSE,PSP / PSB / PR,5800,2.0,MASCULINO
4/12/2013,16:22:56,1958,1,ELEICAO 1958,PA,PA,6,-1,-1,JOAQUIM LOBAO DA SILVEIRA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,PSD,PARTIDO SOCIAL DEMOCRATICO,-1,,PSD,5518,2.0,MASCULINO
