DT_GERACAO,HH_GERACAO,ANO_ELEICAO,NR_TURNO,DS_ELEICAO,SG_UF,SG_UE,CODIGO_CARGO,NUM_CANDIDATO,SQ_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_CARGO,COD_SIT_CAND_SUPERIOR,DESC_SIT_CAND_SUPERIOR,CODIGO_SIT_CANDIDATO,DESC_SIT_CANDIDATO,CODIGO_SIT_CAND_TOT,DESC_SIT_CAND_TOT,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,SEQUENCIAL_LEGENDA,NOME_COLIGACAO,COMPOSICAO_LEGENDA,TOTAL_VOTOS,CD_GENERO,DS_GENERO
16/1/2014,15:43:25,1962,1,ELEICAO 1962,MA,MA,5,-1,-1,ANTENOR MOURAO BOGEA,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,,,-1,,PDC / UDN,107121,2.0,MASCULINO
16/1/2014,15:43:25,1962,1,ELEICAO 1962,MA,MA,5,-1,-1,CLODOMIR TEIXEIRA MILET,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,,,-1,,UDN / PSP / PR,116375,2.0,MASCULINO
16/1/2014,15:43:25,1962,1,ELEICAO 1962,MA,MA,5,-1,-1,SEBASTIAO ARCHER DA SILVA,,SENADOR,-1,,2,DEFERIDO,1,ELEITO,-1,,,-1,,PSD,161365,2.0,MASCULINO
16/1/2014,15:43:25,1962,1,ELEICAO 1962,MA,MA,5,-1,-1,VITORINO DE BRITO FREIRE,,SENADOR,-1,,2,DEFERIDO,1,ELEITO,-1,,,-1,,PSD,172680,2.0,MASCULINO
16/1/2014,15:43:25,1962,1,ELEICAO 1962,MA,MA,6,-1,-1,AFONSO DA SILVA MATOS,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,,,-1,,PSP,1378,2.0,MASCULINO
16/1/2014,15:43:25,1962,1,ELEICAO 1962,MA,MA,6,-1,-1,ALBERTO WADY CHAMES ABOUD,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,,,-1,,PSD,14433,2.0,MASCULINO
16/1/2014,15:43:25,1962,1,ELEICAO 1962,MA,MA,6,-1,-1,ALEXANDRE ALVES COSTA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,,,-1,,PSP,7413,2.0,MASCULINO
16/1/2014,15:43:25,1962,1,ELEICAO 1962,MA,MA,6,-1,-1,ANTONIO CARVALHO GUIMARAES,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,,,-1,,PSD,444,2.0,MASCULINO
16/1/2014,15:43:25,1962,1,ELEICAO 1962,MA,MA,6,-1,-1,ARTUR EVARISTO DE ARAGAO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,,,-1,,PSP,1759,2.0,MASCULINO
16/1/2014,15:43:25,1962,1,ELEICAO 1962,MA,MA,6,-1,-1,CANDIDO MENDES DE ALMEIDA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,,,-1,,PSD,3220,2.0,MASCULINO
16/1/2014,15:43:25,1962,1,ELEICAO 1962,MA,MA,6,-1,-1,CESARIO COIMBRA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,,,-1,OPOSICOES COLIGADAS,PDC / UDN / PR / PTN,2800,2.0,MASCULINO
