DT_GERACAO,HH_GERACAO,ANO_ELEICAO,NR_TURNO,DS_ELEICAO,SG_UF,SG_UE,CODIGO_CARGO,NUM_CANDIDATO,SQ_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_CARGO,COD_SIT_CAND_SUPERIOR,DESC_SIT_CAND_SUPERIOR,CODIGO_SIT_CANDIDATO,DESC_SIT_CANDIDATO,CODIGO_SIT_CAND_TOT,DESC_SIT_CAND_TOT,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,SEQUENCIAL_LEGENDA,NOME_COLIGACAO,COMPOSICAO_LEGENDA,TOTAL_VOTOS,CD_GENERO,DS_GENERO
16/1/2014,15:43:25,1962,1,ELEICAO 1962,SE,SE,3,-1,-1,JOAO DE SEIXAS DORIA,,GOVERNADOR,-1,,2,DEFERIDO,1,ELEITO,-1,,,-1,,PSD / PRT,67514,2.0,MASCULINO
16/1/2014,15:43:25,1962,1,ELEICAO 1962,SE,SE,3,-1,-1,LEANDRO MAYNARD MACIEL,,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,,,-1,,UDN / PTB,58825,2.0,MASCULINO
16/1/2014,15:43:25,1962,1,ELEICAO 1962,SE,SE,4,-1,-1,MANOEL CONDE SOBRAL,,VICE-GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,,,-1,,UDN / PTB,54786,2.0,MASCULINO
16/1/2014,15:43:25,1962,1,ELEICAO 1962,SE,SE,4,-1,-1,SEBASTIAO CELSO CARVALHO,,VICE-GOVERNADOR,-1,,2,DEFERIDO,1,ELEITO,-1,,,-1,,PSD / PRT,59551,2.0,MASCULINO
16/1/2014,15:43:25,1962,1,ELEICAO 1962,SE,SE,5,-1,-1,ERALDO LEMOS,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,,,-1,,UDN / PTB,51965,2.0,MASCULINO
16/1/2014,15:43:25,1962,1,ELEICAO 1962,SE,SE,5,-1,-1,FRANCISCO LEITE NETO,,SENADOR,-1,,2,DEFERIDO,1,ELEITO,-1,,,-1,,PSD / PRT,63563,2.0,MASCULINO
16/1/2014,15:43:25,1962,1,ELEICAO 1962,SE,SE,5,-1,-1,JULIO CESAR LEITE,,SENADOR,-1,,2,DEFERIDO,1,ELEITO,-1,,,-1,,PSD,59154,2.0,MASCULINO
16/1/2014,15:43:25,1962,1,ELEICAO 1962,SE,SE,5,-1,-1,LUIZ GARCIA,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,,,-1,,UDN / PTB,57666,2.0,MASCULINO
16/1/2014,15:43:25,1962,1,ELEICAO 1962,SE,SE,6,-1,-1,ARIOSTO MESQUITA AMADO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,,,-1,ALIANCA SOCIAL DEMOCRATICA,PSD / PR,6170,2.0,MASCULINO
16/1/2014,15:43:25,1962,1,ELEICAO 1962,SE,SE,6,-1,-1,ARMANDO LEITE ROLLEMBERG,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,,,-1,ALIANCA SOCIAL DEMOCRATICA,PSD / PR,11401,2.0,MASCULINO
