DT_GERACAO,HH_GERACAO,ANO_ELEICAO,NR_TURNO,DS_ELEICAO,SG_UF,SG_UE,CODIGO_CARGO,NUM_CANDIDATO,SQ_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_CARGO,COD_SIT_CAND_SUPERIOR,DESC_SIT_CAND_SUPERIOR,CODIGO_SIT_CANDIDATO,DESC_SIT_CANDIDATO,CODIGO_SIT_CAND_TOT,DESC_SIT_CAND_TOT,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,SEQUENCIAL_LEGENDA,NOME_COLIGACAO,COMPOSICAO_LEGENDA,TOTAL_VOTOS,CD_GENERO,DS_GENERO
1/10/2013,13:25:16,1966,1,ELEICAO 1966,AC,AC,5,-1,-1,ADALBERTO CORREA,,SENADOR,-1,,2,DEFERIDO,1,ELEITO,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,9632,2.0,MASCULINO
1/10/2013,13:25:16,1966,1,ELEICAO 1966,AC,AC,5,-1,-1,EDGARD PEDREIRA DE CERQUEIRA FILHO,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,9219,2.0,MASCULINO
1/10/2013,13:25:16,1966,1,ELEICAO 1966,AC,AC,6,-1,-1,ADALBERTO TERCIO LOPES DA CRUZ,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,44,2.0,MASCULINO
1/10/2013,13:25:16,1966,1,ELEICAO 1966,AC,AC,6,-1,-1,ADONAY BARBOSA DOS SANTOS,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,30,2.0,MASCULINO
1/10/2013,13:25:16,1966,1,ELEICAO 1966,AC,AC,6,-1,-1,ALBANYR LEAL,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,870,,FEMININO
1/10/2013,13:25:16,1966,1,ELEICAO 1966,AC,AC,6,-1,-1,ARIOSTO PIRES MIGUEIS,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,217,2.0,MASCULINO
1/10/2013,13:25:16,1966,1,ELEICAO 1966,AC,AC,6,-1,-1,ARMANDO LEITE,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,1207,2.0,MASCULINO
1/10/2013,13:25:16,1966,1,ELEICAO 1966,AC,AC,6,-1,-1,ARY RODRIGUES,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,587,2.0,MASCULINO
1/10/2013,13:25:16,1966,1,ELEICAO 1966,AC,AC,6,-1,-1,CARLOS TEIXEIRA AFONSO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,639,2.0,MASCULINO
1/10/2013,13:25:16,1966,1,ELEICAO 1966,AC,AC,6,-1,-1,FRANCISCO WANDERLEY DANTAS,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,1424,2.0,MASCULINO
1/10/2013,13:25:16,1966,1,ELEICAO 1966,AC,AC,6,-1,-1,GERALDO GURGEL DE MESQUITA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,1792,2.0,MASCULINO
