DT_GERACAO,HH_GERACAO,ANO_ELEICAO,NR_TURNO,DS_ELEICAO,SG_UF,SG_UE,CODIGO_CARGO,NUM_CANDIDATO,SQ_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_CARGO,COD_SIT_CAND_SUPERIOR,DESC_SIT_CAND_SUPERIOR,CODIGO_SIT_CANDIDATO,DESC_SIT_CANDIDATO,CODIGO_SIT_CAND_TOT,DESC_SIT_CAND_TOT,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,SEQUENCIAL_LEGENDA,NOME_COLIGACAO,COMPOSICAO_LEGENDA,TOTAL_VOTOS,CD_GENERO,DS_GENERO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,MT,MT,5,-1,-1,FILINTO MULLER,,SENADOR,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,170365,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,MT,MT,5,-1,-1,PLINIO BARBOSA MARTINS,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,80451,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,MT,MT,5,-1,-1,RACHID SALDANHA DERZI,,SENADOR,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,146257,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,MT,MT,6,-1,-1,AQUILAR VIEIRA DO NASCIMENTO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,4,NAO ELEITO,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,1559,4.0,FEMININO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,MT,MT,6,-1,-1,CHRISTIANO PAULO DE CAMPOS BERGO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,2920,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,MT,MT,6,-1,-1,EDYL PEREIRA FERRAZ,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,9071,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,MT,MT,6,-1,-1,EMANUEL PINHEIRO DA SILVA PRIMO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,21476,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,MT,MT,6,-1,-1,GASTAO DE MATTOS MULLER,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,17325,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,MT,MT,6,-1,-1,JOAO DA CAMARA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,14741,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,MT,MT,6,-1,-1,JOSE GARCIA NETO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,32390,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,MT,MT,6,-1,-1,JUAREZ PINTO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,4,NAO ELEITO,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,1497,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,MT,MT,6,-1,-1,MARCILIO DE OLIVEIRA LIMA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,22942,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,MT,MT,6,-1,-1,NELSON BENEDITO NETTO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,7082,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,MT,MT,6,-1,-1,PAULINO LOPES DA COSTA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,11192,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,MT,MT,6,-1,-1,RANULFO MARQUES LEAL,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,4,NAO ELEITO,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,6297,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,MT,MT,6,-1,-1,UBALDO BAREM,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,23592,2.0,MASCULINO
