DT_GERACAO,HH_GERACAO,ANO_ELEICAO,NR_TURNO,DS_ELEICAO,SG_UF,SG_UE,CODIGO_CARGO,NUM_CANDIDATO,SQ_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_CARGO,COD_SIT_CAND_SUPERIOR,DESC_SIT_CAND_SUPERIOR,CODIGO_SIT_CANDIDATO,DESC_SIT_CANDIDATO,CODIGO_SIT_CAND_TOT,DESC_SIT_CAND_TOT,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,SEQUENCIAL_LEGENDA,NOME_COLIGACAO,COMPOSICAO_LEGENDA,TOTAL_VOTOS,CD_GENERO,DS_GENERO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,SC,SC,5,-1,-1,ANTONIO CARLOS KONDER REIS,,SENADOR,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,509127,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,SC,SC,5,-1,-1,LENOIR VARGAS FERREIRA,,SENADOR,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,469983,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,SC,SC,5,-1,-1,ROMEU SEBASTIAO NEVES,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,261255,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,SC,SC,6,-1,-1,ABEL AVILA DOS SANTOS,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,34716,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,SC,SC,6,-1,-1,ABELARDO RUPP,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,1389,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,SC,SC,6,-1,-1,ADHEMAR PALADINI GHISI,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,58831,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,SC,SC,6,-1,-1,ALBINO ZENI,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,45412,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,SC,SC,6,-1,-1,ANTONIO PICHETTI,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,33559,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,SC,SC,6,-1,-1,AROLDO CARNEIRO DE CARVALHO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,41626,2.0,MASCULINO
4/9/2013,15:53:19,1970,1,ELEICAO 1970,SC,SC,6,-1,-1,CESAR CORREA DO NASCIMENTO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,10214,2.0,MASCULINO
