DT_GERACAO,HH_GERACAO,ANO_ELEICAO,NR_TURNO,DS_ELEICAO,SG_UF,SG_UE,CODIGO_CARGO,NUM_CANDIDATO,SQ_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_CARGO,COD_SIT_CAND_SUPERIOR,DESC_SIT_CAND_SUPERIOR,CODIGO_SIT_CANDIDATO,DESC_SIT_CANDIDATO,CODIGO_SIT_CAND_TOT,DESC_SIT_CAND_TOT,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,SEQUENCIAL_LEGENDA,NOME_COLIGACAO,COMPOSICAO_LEGENDA,TOTAL_VOTOS,CD_GENERO,DS_GENERO
6/9/2013,13:42:21,1974,1,ELEICAO 1974,ES,ES,5,-1,-1,DIRCEU CARDOSO,,SENADOR,-1,,2,DEFERIDO,1,ELEITO,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,213038,2.0,MASCULINO
6/9/2013,13:42:21,1974,1,ELEICAO 1974,ES,ES,5,-1,-1,JOSE CARLOS DA FONSECA,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,168366,2.0,MASCULINO
6/9/2013,13:42:21,1974,1,ELEICAO 1974,ES,ES,6,-1,-1,ALCINO SANTOS,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,16059,2.0,MASCULINO
6/9/2013,13:42:21,1974,1,ELEICAO 1974,ES,ES,6,-1,-1,ALOISIO SANTOS,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,19039,2.0,MASCULINO
6/9/2013,13:42:21,1974,1,ELEICAO 1974,ES,ES,6,-1,-1,ANTONIO JOSE MIGUEL FEU ROSA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,16190,2.0,MASCULINO
6/9/2013,13:42:21,1974,1,ELEICAO 1974,ES,ES,6,-1,-1,ARGILANO DARIO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,44767,2.0,MASCULINO
6/9/2013,13:42:21,1974,1,ELEICAO 1974,ES,ES,6,-1,-1,ARNALDO PRATTI,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,9586,2.0,MASCULINO
6/9/2013,13:42:21,1974,1,ELEICAO 1974,ES,ES,6,-1,-1,GERLES GAMA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,18632,2.0,MASCULINO
6/9/2013,13:42:21,1974,1,ELEICAO 1974,ES,ES,6,-1,-1,GERSON CAMATA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,33812,2.0,MASCULINO
6/9/2013,13:42:21,1974,1,ELEICAO 1974,ES,ES,6,-1,-1,HENRIQUE PRETTI,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,20652,2.0,MASCULINO
6/9/2013,13:42:21,1974,1,ELEICAO 1974,ES,ES,6,-1,-1,HUMBERTO PINHEIRO DE VASCONCELOS,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,2295,2.0,MASCULINO
6/9/2013,13:42:21,1974,1,ELEICAO 1974,ES,ES,6,-1,-1,JOSE PARENTE FROTA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,21178,2.0,MASCULINO
6/9/2013,13:42:21,1974,1,ELEICAO 1974,ES,ES,6,-1,-1,JOSE TASSO OLIVEIRA DE ANDRADE,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,16189,2.0,MASCULINO
6/9/2013,13:42:21,1974,1,ELEICAO 1974,ES,ES,6,-1,-1,MARIO ALVES MOREIRA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,27948,2.0,MASCULINO
6/9/2013,13:42:21,1974,1,ELEICAO 1974,ES,ES,6,-1,-1,MOACYR DALLA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,24044,2.0,MASCULINO
6/9/2013,13:42:21,1974,1,ELEICAO 1974,ES,ES,6,-1,-1,MOREVEU PEREIRA CARDOSO JUNIOR,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,8667,,FEMININO
6/9/2013,13:42:21,1974,1,ELEICAO 1974,ES,ES,6,-1,-1,NAMYR CARLOS DE SOUZA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,8372,,FEMININO
6/9/2013,13:42:21,1974,1,ELEICAO 1974,ES,ES,6,-1,-1,NATHANAEL RAUTA RAMOS,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,10436,2.0,MASCULINO
6/9/2013,13:42:21,1974,1,ELEICAO 1974,ES,ES,6,-1,-1,OSWALDO ZANELLO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,19898,2.0,MASCULINO
6/9/2013,13:42:21,1974,1,ELEICAO 1974,ES,ES,6,-1,-1,PEDRO MAIA DE CARVALHO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,4559,2.0,MASCULINO
6/9/2013,13:42:21,1974,1,ELEICAO 1974,ES,ES,6,-1,-1,ROBERTO VIVACQUA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,15911,2.0,MASCULINO
6/9/2013,13:42:21,1974,1,ELEICAO 1974,ES,ES,6,-1,-1,VERDEVAL FERREIRA DA SILVA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,ARENA,ALIANCA RENOVADORA NACIONAL,-1,,,8701,2.0,MASCULINO
6/9/2013,13:42:21,1974,1,ELEICAO 1974,ES,ES,7,-1,-1,ADEMIR SANTOS CARDOSO,,DEPUTADO ESTADUAL,-1,,2,DEFERIDO,2,SUPLENTE,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,2631,2.0,MASCULINO
6/9/2013,13:42:21,1974,1,ELEICAO 1974,ES,ES,7,-1,-1,ALDO ALVES PRUDENCIO,,DEPUTADO ESTADUAL,-1,,2,DEFERIDO,1,ELEITO,-1,MDB,MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,15313,2.0,MASCULINO
