DT_GERACAO,HH_GERACAO,ANO_ELEICAO,NR_TURNO,DS_ELEICAO,SG_UF,SG_UE,CODIGO_CARGO,NUM_CANDIDATO,SQ_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_CARGO,COD_SIT_CAND_SUPERIOR,DESC_SIT_CAND_SUPERIOR,CODIGO_SIT_CANDIDATO,DESC_SIT_CANDIDATO,CODIGO_SIT_CAND_TOT,DESC_SIT_CAND_TOT,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,SEQUENCIAL_LEGENDA,NOME_COLIGACAO,COMPOSICAO_LEGENDA,TOTAL_VOTOS,CD_GENERO,DS_GENERO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,MA,MA,3,-1,-1,CESARAIO GUILHERME COIMBRA ,,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,4,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,,,632,,FEMININO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,MA,MA,3,-1,-1,LUIS ALVES COELHO ROCHA,,GOVERNADOR,-1,,2,DEFERIDO,1,ELEITO,1,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,,,673916,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,MA,MA,3,-1,-1,OSVALDO DE ALENCAR ROCHA ,,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,3,PT,PARTIDO DOS TRABALHADORES,-1,,,8643,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,MA,MA,3,-1,-1,REGINALDO CARVALHO TELES DE SOUSA ,,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,2,PDT,PARTIDO DEMOCRATICO TRABALHISTA,-1,,,12738,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,MA,MA,3,-1,-1,RENATO BAYMA ARCHER DA SILVA,,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,5,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,180287,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,MA,MA,5,-1,-1,JOAO CASTELO RIBEIRO GONCALVES,,SENADOR,-1,,2,DEFERIDO,1,ELEITO,1,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,,,631853,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,MA,MA,5,-1,-1,JOAO MOTA DE QUEIROZ ,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,5,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,,172187,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,MA,MA,5,-1,-1,LUIS FERNANDO FREIRE,,SENADOR,-1,,2,DEFERIDO,2,SUPLENTE,1,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,,,59840,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,MA,MA,5,-1,-1,MANOEL DE VERA CRUZ R. MARQUES ,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,4,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,,,530,2.0,MASCULINO
16/7/2013,14:49:36,1982,1,ELEICAO 1982,MA,MA,5,-1,-1,MARIA CLAY MOREIRA LIMA LAGO,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,2,PDT,PARTIDO DEMOCRATICO TRABALHISTA,-1,,,12511,4.0,FEMININO
