DT_GERACAO,HH_GERACAO,ANO_ELEICAO,NR_TURNO,DS_ELEICAO,SG_UF,SG_UE,CODIGO_CARGO,NUM_CANDIDATO,SQ_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_CARGO,COD_SIT_CAND_SUPERIOR,DESC_SIT_CAND_SUPERIOR,CODIGO_SIT_CANDIDATO,DESC_SIT_CANDIDATO,CODIGO_SIT_CAND_TOT,DESC_SIT_CAND_TOT,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,SEQUENCIAL_LEGENDA,NOME_COLIGACAO,COMPOSICAO_LEGENDA,TOTAL_VOTOS,CD_GENERO,DS_GENERO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,CE,CE,3,13,-1,PE. JOSE HAROLDO BEZERRA COELHO,,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,13,PT,PARTIDO DOS TRABALHADORES,-1,PARTIDO DOS TRABALHADORES E PARTIDO SOCIALISTA BRASILEIRO,PT / PSB,68044,,FEMININO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,CE,CE,3,15,-1,TASSO RIBEIRO JEREISSATI,,GOVERNADOR,-1,,2,DEFERIDO,1,ELEITO,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,COLIGACAO MOVIMENTO PRO-MUDANCAS,PMDB / PDC / PCB / PCdoB,1407693,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,CE,CE,3,20,-1,FRANCISCO AIRES QUINTELA,,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,20,PSC,PARTIDO SOCIAL CRISTAO,-1,COLIGACAO UNIAO LIBERAL CRISTA,PSC / PL,7304,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,CE,CE,3,25,-1,JOSE ADAUTO BEZERRA,,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,25,PFL,PARTIDO DA FRENTE LIBERAL ,-1,COLIGACAO DEMOCRATICA,PFL / PDS / PTB,807315,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,CE,CE,5,111,-1,CESAR CALS DE OLIVEIRA FILHO,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,COLIGACAO DEMOCRATICA,PFL / PDS / PTB,602546,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,CE,CE,5,121,-1,PEDRO AUGUSTO DE SALES GURJAO,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,12,PDT,PARTIDO DEMOCRATICO TRABALHISTA,-1,,PDT,114019,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,CE,CE,5,122,-1,ALBERTO LEITE TEIXEIRA,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,12,PDT,PARTIDO DEMOCRATICO TRABALHISTA,-1,,PDT,19668,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,CE,CE,5,131,-1,MARIA CLEIDE CARLOS BERNAL,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,13,PT,PARTIDO DOS TRABALHADORES,-1,PARTIDO DOS TRABALHADORES E PARTIDO SOCIALISTA BRASILEIRO,PT / PSB,49878,4.0,FEMININO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,CE,CE,5,151,-1,CARLOS MAURO CABRAL BENEVIDES,,SENADOR,-1,,2,DEFERIDO,1,ELEITO,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,COLIGACAO MOVIMENTO PRO-MUDANCA,PMDB / PDC / PCB / PCdoB,1219289,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,CE,CE,5,152,-1,CID SABOIA DE CARVALHO,,SENADOR,-1,,2,DEFERIDO,1,ELEITO,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,COLIGACAO MOVIMENTO PRO-MUDANCA,PMDB / PDC / PCB / PCdoB,950231,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,CE,CE,5,153,-1,ESMERINO OLIVEIRA ARRUDA COELHO,,SENADOR,-1,,2,DEFERIDO,2,SUPLENTE,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,COLIGACAO MOVIMENTO PRO-MUDANCA,PMDB / PDC / PCB / PCdoB,116990,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,CE,CE,5,154,-1,NESTOR NOGUEIRA DE VASCONCELOS,,SENADOR,-1,,2,DEFERIDO,2,SUPLENTE,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,COLIGACAO MOVIMENTO PRO-MUDANCA,PMDB / PDC / PCB / PCdoB,65151,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,CE,CE,5,202,-1,FRANCISCO JOSE LOYOLA RODRIGUES,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,20,PSC,PARTIDO SOCIAL CRISTAO,-1,COLIGACAO UNIAO LIBERAL CRISTA,PSC / PL,16375,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,CE,CE,5,222,-1,OLGA NUNES DA SILVA,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,22,PL,PARTIDO LIBERAL,-1,COLIGACAO UNIAO LIBERAL CRISTA,PSC / PL,14985,4.0,FEMININO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,CE,CE,5,251,-1,PAULO DE TARSO LUSTOSA DA COSTA,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,25,PFL,PARTIDO DA FRENTE LIBERAL ,-1,COLIGACAO DEMOCRATICA,PFL / PDS / PTB,732169,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,CE,CE,5,401,-1,EDUARDO REGIS MONTE JUCA,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,40,PSB,PARTIDO SOCIALISTA BRASILEIRO,-1,PARTIDO DOS TRABALHADORES E PARTIDO SOCIALISTA BRASILEIRO,PT / PSB,104644,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,CE,CE,6,-1,-1,ADAIRTON FRANCO DE OLIVEIRA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,COLIGACAO MOVIMENTO PRO-MUDANCA,PMDB / PDC / PCB / PCdoB,2023,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,CE,CE,6,-1,-1,ALEXANDRE NEWTON DE MOURAO TAVARES,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,COLIGACAO MOVIMENTO PRO-MUDANCA,PMDB / PDC / PCB / PCdoB,1969,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,CE,CE,6,-1,-1,ALFREDO DE ABREU PEREIRA MARQUES,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,COLIGACAO MOVIMENTO PRO-MUDANCA,PMDB / PDC / PCB / PCdoB,14265,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,CE,CE,6,-1,-1,ALMIR QUARESMA TRIGUEIRO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,12,PDT,PARTIDO DEMOCRATICO TRABALHISTA,-1,,PDT,533,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,CE,CE,6,-1,-1,ANDRE SOUSA COSTA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,12,PDT,PARTIDO DEMOCRATICO TRABALHISTA,-1,,PDT,796,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,CE,CE,6,-1,-1,ANTONIO ALVES DE MORAIS,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,COLIGACAO MOVIMENTO PRO-MUDANCA,PMDB / PDC / PCB / PCdoB,12717,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,CE,CE,6,-1,-1,ANTONIO ELISIMAR BELCHIOR AGUIAR,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,COLIGACAO MOVIMENTO PRO-MUDANCA,PMDB / PDC / PCB / PCdoB,20581,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,CE,CE,6,-1,-1,ANTONIO JURANDIR PORTO ROSA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,12,PDT,PARTIDO DEMOCRATICO TRABALHISTA,-1,,PDT,6097,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,CE,CE,6,-1,-1,ANTONIO PAES DE ANDRADE,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,COLIGACAO MOVIMENTO PRO-MUDANCA,PMDB / PDC / PCB / PCdoB,72748,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,CE,CE,6,-1,-1,ANTONIO RODRIGUES DE FREITAS,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,COLIGACAO MOVIMENTO PRO-MUDANCA,PMDB / PDC / PCB / PCdoB,777,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,CE,CE,6,-1,-1,ARISTIDES BRAGA NETO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,12,PDT,PARTIDO DEMOCRATICO TRABALHISTA,-1,,PDT,1478,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,CE,CE,6,-1,-1,ARTUR SILVA FILHO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,COLIGACAO MOVIMENTO PRO-MUDANCA,PMDB / PDC / PCB / PCdoB,22588,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,CE,CE,6,-1,-1,CARLOS EDUARDO BENEVIDES NETO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,COLIGACAO MOVIMENTO PRO-MUDANCA,PMDB / PDC / PCB / PCdoB,43915,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,CE,CE,6,-1,-1,CARLOS HENRIQUE CASTELO BRANCO RAYOL,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,COLIGACAO MOVIMENTO PRO-MUDANCA,PMDB / PDC / PCB / PCdoB,10468,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,CE,CE,6,-1,-1,CLAUDIO EMANUEL CORREIA LIMA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,COLIGACAO MOVIMENTO PRO-MUDANCA,PMDB / PDC / PCB / PCdoB,514,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,CE,CE,6,-1,-1,DARIO PEREIRA ARAGAO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,COLIGACAO MOVIMENTO PRO-MUDANCA,PMDB / PDC / PCB / PCdoB,4866,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,CE,CE,6,-1,-1,EDMILSON FRANCISCO DE OLIVEIRA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,12,PDT,PARTIDO DEMOCRATICO TRABALHISTA,-1,,PDT,627,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,CE,CE,6,-1,-1,EXPEDITO MACHADO DA PONTE,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,COLIGACAO MOVIMENTO PRO-MUDANCA,PMDB / PDC / PCB / PCdoB,56462,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,CE,CE,6,-1,-1,FAUSTO AGUIAR ARRUDA FILHO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,COLIGACAO MOVIMENTO PRO-MUDANCA,PMDB / PDC / PCB / PCdoB,15760,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,CE,CE,6,-1,-1,FIRMO FERNANDES DE CASTRO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,COLIGACAO MOVIMENTO PRO-MUDANCA,PMDB / PDC / PCB / PCdoB,48786,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,CE,CE,6,-1,-1,FRANCISCO DAS CHAGAS DE VASCONCELOS,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,COLIGACAO MOVIMENTO PRO-MUDANCA,PMDB / PDC / PCB / PCdoB,28040,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,CE,CE,6,-1,-1,FRANCISCO JOSE CHAVES JATAHY,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,COLIGACAO MOVIMENTO PRO-MUDANCA,PMDB / PDC / PCB / PCdoB,21949,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,CE,CE,6,-1,-1,GIDEL DANTAS QUEIROZ,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,COLIGACAO MOVIMENTO PRO-MUDANCA,PMDB / PDC / PCB / PCdoB,40459,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,CE,CE,6,-1,-1,HARODO SANFORD BARROS,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,COLIGACAO MOVIMENTO PRO-MUDANCA,PMDB / PDC / PCB / PCdoB,37164,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,CE,CE,6,-1,-1,HORTENCIO XAVIER DE SOUSA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,12,PDT,PARTIDO DEMOCRATICO TRABALHISTA,-1,,PDT,826,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,CE,CE,6,-1,-1,IRANILDO PEREIRA DE OLIVEIRA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,COLIGACAO MOVIMENTO PRO-MUDANCA,PMDB / PDC / PCB / PCdoB,32614,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,CE,CE,6,-1,-1,IVAN DA CONCEICAO VELOSO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,12,PDT,PARTIDO DEMOCRATICO TRABALHISTA,-1,,PDT,821,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,CE,CE,6,-1,-1,JOAO BATISTA ARAGAO ARAUJO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,12,PDT,PARTIDO DEMOCRATICO TRABALHISTA,-1,,PDT,562,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,CE,CE,6,-1,-1,JOAO DE DEUS VIEIRA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,12,PDT,PARTIDO DEMOCRATICO TRABALHISTA,-1,,PDT,668,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,CE,CE,6,-1,-1,JOAO DE SOUSA BRAGA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,12,PDT,PARTIDO DEMOCRATICO TRABALHISTA,-1,,PDT,612,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,CE,CE,6,-1,-1,JOAO FRANCISCO DE LIMA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,12,PDT,PARTIDO DEMOCRATICO TRABALHISTA,-1,,PDT,537,2.0,MASCULINO
