DT_GERACAO,HH_GERACAO,ANO_ELEICAO,NR_TURNO,DS_ELEICAO,SG_UF,SG_UE,CODIGO_CARGO,NUM_CANDIDATO,SQ_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_CARGO,COD_SIT_CAND_SUPERIOR,DESC_SIT_CAND_SUPERIOR,CODIGO_SIT_CANDIDATO,DESC_SIT_CANDIDATO,CODIGO_SIT_CAND_TOT,DESC_SIT_CAND_TOT,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,SEQUENCIAL_LEGENDA,NOME_COLIGACAO,COMPOSICAO_LEGENDA,TOTAL_VOTOS,CD_GENERO,DS_GENERO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,MG,MG,3,11,-1,MURILO PAULINO BADARO,,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,MPM,PDS / PDC / PDI,377752,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,MG,MG,3,13,-1,FERNANDO VIANA CABRAL,,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,13,PT,PARTIDO DOS TRABALHADORES,-1,PT / PH,PT / PH,212508,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,MG,MG,3,15,-1,NEWTON CARDOSO,,GOVERNADOR,-1,,2,DEFERIDO,1,ELEITO,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,PMDB,2869635,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,MG,MG,3,20,-1,VITOR JORGE ABDALLA NOSSEIS,,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,20,PSC,PARTIDO SOCIAL CRISTAO,-1,,PSC,25064,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,MG,MG,3,22,-1,ITAMAR AUGUSTO CAUTIERO FRANCO,,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,22,PL,PARTIDO LIBERAL,-1,MOVIMENTO DEMOCRATICO PROGRESSISTA,PFL / PL,2570439,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,MG,MG,3,34,-1,ONALDO JANNOTTI,,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,34,PS,PARTIDO SOCIALISTA,-1,,PS,34412,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,MG,MG,5,-1,-1,ALFREDO JOSE DE CAMPOS MELO,,SENADOR,-1,,2,DEFERIDO,1,ELEITO,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,PMDB,1441576,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,MG,MG,5,-1,-1,CYRO DE AGUIAR MACIEL,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,MPM,PDS / PDC / PDI,50120,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,MG,MG,5,-1,-1,ELCIO REIS,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,13,PT,PARTIDO DOS TRABALHADORES,-1,PT / PH,PT / PH,300863,2.0,MASCULINO
3/6/2013,19:06:38,1986,1,ELEICOES 1986,MG,MG,5,-1,-1,FRANCISCO LAJE PESSOA,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,12,PDT,PARTIDO DEMOCRATICO TRABALHISTA,-1,,PDT,673325,2.0,MASCULINO
