DT_GERACAO,HH_GERACAO,ANO_ELEICAO,NR_TURNO,DS_ELEICAO,SG_UF,SG_UE,CODIGO_CARGO,NUM_CANDIDATO,SQ_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_CARGO,COD_SIT_CAND_SUPERIOR,DESC_SIT_CAND_SUPERIOR,CODIGO_SIT_CANDIDATO,DESC_SIT_CANDIDATO,CODIGO_SIT_CAND_TOT,DESC_SIT_CAND_TOT,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,SEQUENCIAL_LEGENDA,NOME_COLIGACAO,COMPOSICAO_LEGENDA,TOTAL_VOTOS,CD_GENERO,DS_GENERO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,AL,AL,3,13.0,-1,ANTONIO CERVEIRA DE MOURA,,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,13,PT,PARTIDO DOS TRABALHADORES,-1,FRENTE POPULAR,PT/ PCB/ PSB/ PCdoB,23089,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,AL,AL,3,20.0,-1,GERALDO BULHOES BARROS,,GOVERNADOR,-1,,2,DEFERIDO,3,2o TURNO,20,PSC,PARTIDO SOCIAL CRISTAO,-1,,PDT/ PTB/ PMDB/ PSC/ PFL/ PMN/ PTdoB,338598,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,AL,AL,3,22.0,-1,JOSE RENAN VASCONCELOS CALHEIROS,,GOVERNADOR,-1,,2,DEFERIDO,3,2o TURNO,22,PL,PARTIDO LIBERAL,-1,ALAGOAS - A HORA E AGORA,PRP/ PDC/ PL/ PTR/ PRN,303886,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,AL,AL,3,41.0,-1,ANTONIO GRILO BATISTA DE OLIVEIRA,,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,41,PSD,PARTIDO SOCIAL DEMOCRATICO,-1,,PSD,14941,2.0,MASCULINO
24/4/2014,19:52:11,1990,2,ELEICOES 1990,AL,AL,3,20.0,-1,GERALDO BULHOES BARROS,,GOVERNADOR,-1,,2,DEFERIDO,1,ELEITO,20,PSC,PARTIDO SOCIAL CRISTAO,-1,,PDT/ PTB/ PMDB/ PSC/ PFL/ PMN/ PTdoB,424480,2.0,MASCULINO
24/4/2014,19:52:11,1990,2,ELEICOES 1990,AL,AL,3,22.0,-1,JOSE RENAN VASCONCELOS CALHEIROS,,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,22,PL,PARTIDO LIBERAL,-1,ALAGOAS - A HORA E AGORA,PRP/ PDC/ PL/ PTR/ PRN,218945,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,AL,AL,5,,-1,FRANCISCO CARLOS ROCHA DE MELO,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,-1,,,-1,,,163588,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,AL,AL,5,,-1,GUILHERME GRACINDO SOARES PALMEIRA,,SENADOR,-1,,2,DEFERIDO,1,ELEITO,25,PFL,PARTIDO DA FRENTE LIBERAL ,-1,UNIAO POR ALAGOAS,PDT/ PTB/ PMDB/ PSC/ PFL/ PMN/ PSDB/ PTdoB,334279,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,AL,AL,5,,-1,JOSE REGIS BARROS CAVALCANTE,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,23,PCB,PARTIDO COMUNISTA BRASILEIRO,-1,FRENTE POPULAR,PT/ PCB/ PSB/ PCdoB,40659,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,AL,AL,6,1212.0,-1,ANTONIO SATURNINO DE MENDONCA NETO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,12,PDT,PARTIDO DEMOCRATICO TRABALHISTA,-1,UNIAO POR ALAGOAS,PDT/ PTB/ PMDB/ PSC/ PFL/ PMN/ PSDB/ PTdoB,25598,2.0,MASCULINO
