DT_GERACAO,HH_GERACAO,ANO_ELEICAO,NR_TURNO,DS_ELEICAO,SG_UF,SG_UE,CODIGO_CARGO,NUM_CANDIDATO,SQ_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_CARGO,COD_SIT_CAND_SUPERIOR,DESC_SIT_CAND_SUPERIOR,CODIGO_SIT_CANDIDATO,DESC_SIT_CANDIDATO,CODIGO_SIT_CAND_TOT,DESC_SIT_CAND_TOT,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,SEQUENCIAL_LEGENDA,NOME_COLIGACAO,COMPOSICAO_LEGENDA,TOTAL_VOTOS,CD_GENERO,DS_GENERO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,MS,MS,3,12,-1,GANDI JAMIL,,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,12,PDT,PARTIDO DEMOCRATICO TRABALHISTA,-1,MOVIMENTO POPULAR DE RENOVACAO,PMN / PDT / PMDB / PFL / PTR / PSDB,217289,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,MS,MS,3,13,-1,MANOEL CAMARGO BRONZE,,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,13,PT,PARTIDO DOS TRABALHADORES,-1,FRENTE MS POPULAR,PT / PCB / PSB / PCdoB,68304,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,MS,MS,3,14,-1,PEDRO PEDROSSIAN ,,GOVERNADOR,-1,,2,DEFERIDO,1,ELEITO,14,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,FRENTE DAS OPOSICOES,PTB / PDS / PDC / PL / PRN / PSD / PST,417589,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,MS,MS,5,131,-1,PEDRO TERUEL,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,13,PT,PARTIDO DOS TRABALHADORES,-1,FRENTE MS POPULAR,PT / PCB / PSB / PCdoB,49679,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,MS,MS,5,141,-1,LEVY DIAS ,,SENADOR,-1,,2,DEFERIDO,1,ELEITO,14,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,FRENTE DAS OPOSICOES,PTB / PDS / PDC / PL / PRN / PSD / PST,301752,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,MS,MS,5,151,-1,JUVENCIO CESAR DA FONSECA,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,MOVIMENTO POPULAR DE RENOVACAO,PMN / PDT / PMDB / PFL / PTR / PSDB,279121,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,MS,MS,6,1111,-1,DANIEL ORTIZ,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,FRENTE DAS OPOSICOES,PTB / PDS / PDC / PL / PRN / PSD / PST,535,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,MS,MS,6,1113,-1,NILTON MARQUES CARVALHO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,FRENTE DAS OPOSICOES,PTB / PDS / PDC / PL / PRN / PSD / PST,284,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,MS,MS,6,1212,-1,SADY CAVALHEIRO MARINHO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,12,PDT,PARTIDO DEMOCRATICO TRABALHISTA,-1,MOVIMENTO POPULAR DE RENOVACAO,PDT / PMDB / PFL / PTR / PSDB,4299,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,MS,MS,6,1217,-1,FELIPE ANTONIO PRECHITKO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,12,PDT,PARTIDO DEMOCRATICO TRABALHISTA,-1,MOVIMENTO POPULAR DE RENOVACAO,PDT / PMDB / PFL / PTR / PSDB,1144,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,MS,MS,6,1220,-1,WILSON FADUL FILHO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,12,PDT,PARTIDO DEMOCRATICO TRABALHISTA,-1,MOVIMENTO POPULAR DE RENOVACAO,PDT / PMDB / PFL / PTR / PSDB,2614,2.0,MASCULINO
