DT_GERACAO,HH_GERACAO,ANO_ELEICAO,NR_TURNO,DS_ELEICAO,SG_UF,SG_UE,CODIGO_CARGO,NUM_CANDIDATO,SQ_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_CARGO,COD_SIT_CAND_SUPERIOR,DESC_SIT_CAND_SUPERIOR,CODIGO_SIT_CANDIDATO,DESC_SIT_CANDIDATO,CODIGO_SIT_CAND_TOT,DESC_SIT_CAND_TOT,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,SEQUENCIAL_LEGENDA,NOME_COLIGACAO,COMPOSICAO_LEGENDA,TOTAL_VOTOS,CD_GENERO,DS_GENERO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,PE,PE,3,13,-1,PAULO RUBEM SANTIAGO FERREIRA,PAULO RUBEM,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,13,PT,PARTIDO DOS TRABALHADORES,-1,,PT,64241,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,PE,PE,3,14,-1,JOSE BATISTA DE SOUZA,JOSE BATISTA DE SOUZA,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,14,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,FORCA TRABALHISTA LIBERAL DE PERNAMBUCO,PTB / PL,26991,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,PE,PE,3,15,-1,JARBAS DE ANDRADE VASCONCELOS,JARBAS VASCONCELOS,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,FRENTE POPULAR DE PERNAMBUCO,PDT / PMDB / PCB / PMN / PSDB / PS / PSB / PCdoB,1088365,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,PE,PE,3,25,-1,JOAQUIM FRANCISCO DE FREITAS CAVALCANTI,JOAQUIM FRANCISCO,GOVERNADOR,-1,,2,DEFERIDO,1,ELEITO,25,PFL,PARTIDO DA FRENTE LIBERAL ,-1,FRENTE DAS OPOSICOES DE PERNAMBUCO,PDS / PFL / PTR / PRN / PSD / PST / PSC / PDC,1238326,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,PE,PE,3,59,-1,ALEXANDRE JOSE FERREIRA DOS SANTOS,ALEXANDRE SANTOS,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,59,PSL,PARTIDO DO SOLIDARISMO LIBERTADOR,-1,,PSL,12403,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,PE,PE,5,131,-1,JOSE AILTON DE LIMA,AILTON,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,13,PT,PARTIDO DOS TRABALHADORES,-1,,PT,70286,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,PE,PE,5,141,-1,HOMERO MOURA LACERDA DE MELO,HOMERO LACERDA,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,14,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,FORCA TRABALHISTA LIBERAL DE PERNAMBUCO,PTB/ PL,160296,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,PE,PE,5,151,-1,JOSE QUEIROZ DE LIMA,JOSE QUEIROZ,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,FRENTE POPULAR DE PERNAMBUCO,PDT / PMDB / PCB / PMN / PSDB / PS / PSB / PCdoB,840866,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,PE,PE,5,251,-1,MARCO ANTONIO DE OLIVEIRA MACIEL,MARCO MACIEL,SENADOR,-1,,2,DEFERIDO,1,ELEITO,25,PFL,PARTIDO DA FRENTE LIBERAL ,-1,FRENTE DAS OPOSICOES DE PERNAMBUCO,PDS / PFL / PTR / PRN / PSD / PST / PSC / PDC,910802,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,PE,PE,5,591,-1,MARCUS MARTINEZ MARTINS,MARCUS MARTINS,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,59,PSL,PARTIDO DO SOLIDARISMO LIBERTADOR,-1,,PSL,20522,2.0,MASCULINO
