DT_GERACAO,HH_GERACAO,ANO_ELEICAO,NR_TURNO,DS_ELEICAO,SG_UF,SG_UE,CODIGO_CARGO,NUM_CANDIDATO,SQ_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_CARGO,COD_SIT_CAND_SUPERIOR,DESC_SIT_CAND_SUPERIOR,CODIGO_SIT_CANDIDATO,DESC_SIT_CANDIDATO,CODIGO_SIT_CAND_TOT,DESC_SIT_CAND_TOT,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,SEQUENCIAL_LEGENDA,NOME_COLIGACAO,COMPOSICAO_LEGENDA,TOTAL_VOTOS,CD_GENERO,DS_GENERO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,RR,RR,3,11,-1,ROMERO JUCA FILHO,,GOVERNADOR,-1,,2,DEFERIDO,3,2o TURNO,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,,PDS,22394,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,RR,RR,3,13,-1,ROBERT DAGON DA SILVA,,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,13,PT,PARTIDO DOS TRABALHADORES,-1,,PT,1195,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,RR,RR,3,14,-1,OTTOMAR DE SOUSA PINTO,,GOVERNADOR,-1,,2,DEFERIDO,3,2o TURNO,14,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,FRENTE POPULAR NOVA ESTRELA,PTB / PDC / PSD,27143,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,RR,RR,3,20,-1,BELGERRAC VILELA BATISTA,,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,20,PSC,PARTIDO SOCIAL CRISTAO,-1,NOVO RORAIMA,PSC / PTR,659,,FEMININO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,RR,RR,3,36,-1,NEUDO RIBEIRO CAMPOS,,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,36,PRN,PARTIDO DA RECONSTRUCAO NACIONAL,-1,,PRN,3025,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,RR,RR,3,45,-1,GETULIO ALBERTO DE SOUZA CRUZ,,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,-1,MOVIMENTO RORAIMA LIVRE,PSDB / PDT / PSB / PST / PCdoB,8407,2.0,MASCULINO
24/4/2014,19:52:11,1990,2,ELEICOES 1990,RR,RR,3,11,-1,ROMERO JUCA FILHO,,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,,PDS,28993,2.0,MASCULINO
24/4/2014,19:52:11,1990,2,ELEICOES 1990,RR,RR,3,14,-1,OTTOMAR DE SOUSA PINTO,,GOVERNADOR,-1,,2,DEFERIDO,1,ELEITO,14,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,FRENTE POPULAR NOVA ESTRELA,PTB / PDC / PSD,32506,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,RR,RR,5,111,-1,JORGE ANTONIO MIGUEL YUNES,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,,PDS,373,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,RR,RR,5,112,-1,RUBENS DE CAMARGO PENTEADO,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,,PDS,588,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,RR,RR,5,121,-1,FRANCISCO DAS CHAGAS DUARTE,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,12,PDT,PARTIDO DEMOCRATICO TRABALHISTA,-1,MOVIMENTO RORAIMA LIVRE,PSDB / PDT / PSB / PST / PCdoB,3086,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,RR,RR,5,131,-1,CLIDENOR ANDRADE LEITE,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,13,PT,PARTIDO DOS TRABALHADORES,-1,,PT,1605,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,RR,RR,5,141,-1,MARIA MARLUCE MOREIRA PINTO,,SENADOR,-1,,2,DEFERIDO,1,ELEITO,14,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,FRENTE POPULAR NOVA ESTRELA,PTB / PDC / PSD,20316,4.0,FEMININO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,RR,RR,5,144,-1,MOISES SRAGOWICZ LIPINIK,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,14,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,FRENTE POPULAR NOVA ESTRELA,PTB / PDC / PSD,15841,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,RR,RR,5,145,-1,ALCI DA ROCHA,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,14,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,FRENTE POPULAR NOVA ESTRELA,PTB / PDC / PSD,3445,2.0,MASCULINO
