DT_GERACAO,HH_GERACAO,ANO_ELEICAO,NR_TURNO,DS_ELEICAO,SG_UF,SG_UE,CODIGO_CARGO,NUM_CANDIDATO,SQ_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_CARGO,COD_SIT_CAND_SUPERIOR,DESC_SIT_CAND_SUPERIOR,CODIGO_SIT_CANDIDATO,DESC_SIT_CANDIDATO,CODIGO_SIT_CAND_TOT,DESC_SIT_CAND_TOT,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,SEQUENCIAL_LEGENDA,NOME_COLIGACAO,COMPOSICAO_LEGENDA,TOTAL_VOTOS,CD_GENERO,DS_GENERO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SP,SP,3,11,-1,PAULO SALIM MALUF,,GOVERNADOR,-1,,2,DEFERIDO,3,2o TURNO,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,UNIAO POR SAO PAULO,PDS/ PDC/ PTB/ PRN,5872252,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SP,SP,3,15,-1,LUIZ ANTONIO FLEURY FILHO,,GOVERNADOR,-1,,2,DEFERIDO,3,2o TURNO,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,NOVO TEMPO,PL/ PFL/ PMDB,3803077,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SP,SP,3,44,-1,ADHEMAR DE BARROS FILHO,,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,44,PRP,PARTIDO REPUBLICANO PROGRESSISTA,-1,RENOVACAO DEMOCRATA,PRP/ PD/ PCN,63115,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SP,SP,3,45,-1,MARIO COVAS JUNIOR,,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,-1,,PSDB,2050573,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SP,SP,3,52,-1,MIGUEL MENDONCA,,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,52,PST,PARTIDO SOCIAL TRABALHISTA,-1,,PST,27573,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SP,SP,3,69,-1,SONIA MARIA GOULART ISHIKAWA,,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,69,PLH,PARTIDO LIBERAL HUMANISTA,-1,,PLH,45916,4.0,FEMININO
24/4/2014,19:52:11,1990,2,ELEICOES 1990,SP,SP,3,11,-1,PAULO SALIM MALUF,,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,UNIAO POR SAO PAULO,PDS/ PDC/ PTB/ PRN,6865157,2.0,MASCULINO
24/4/2014,19:52:11,1990,2,ELEICOES 1990,SP,SP,3,15,-1,LUIZ ANTONIO FLEURY FILHO,,GOVERNADOR,-1,,2,DEFERIDO,1,ELEITO,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,NOVO TEMPO,PL/ PFL/ PMDB,7368730,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SP,SP,5,111,-1,JOAQUIM ANTONIO FERREIRA NETO,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,UNIAO POR SAO PAULO,PDS/ PDC/ PTB/ PRN,3806645,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SP,SP,5,131,-1,EDUARDO MATARAZZO SUPLICY,,SENADOR,-1,,2,DEFERIDO,1,ELEITO,13,PT,PARTIDO DOS TRABALHADORES,-1,UNIAO DEMOCRATICA POPULAR,PCdoB/ PSB/ PCB/ PT,4229706,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SP,SP,5,221,-1,GUILHERME AFIF DOMINGOS,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,22,PL,PARTIDO LIBERAL,-1,NOVO TEMPO,PL/ PFL/ PSD/ PMDB,2491597,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SP,SP,5,331,-1,JOAO ORLANDO DUARTE DA CUNHA,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,33,PMN,PARTIDO DA MOBILIZACAO NACIONAL,-1,,PMN,141574,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SP,SP,5,441,-1,ELIAS JORGE,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,44,PRP,PARTIDO REPUBLICANO PROGRESSISTA,-1,RENOVACAO DEMOCRATA,PRP/ PD/ PCN,95124,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SP,SP,5,451,-1,ANDRE FRANCO MONTORO,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,-1,,PSDB,1065388,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SP,SP,5,691,-1,LUCIA RIENZO VARELLA,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,69,PLH,PARTIDO LIBERAL HUMANISTA,-1,,PLH,97796,4.0,FEMININO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SP,SP,6,1103,-1,ADAIL VETTOFTAZZO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,UNIAO POR SAO PAULO,PDS/ PDC/ PTB/ PRN,24591,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SP,SP,6,1104,-1,WILLIAM DIB,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,UNIAO POR SAO PAULO,PDS/ PDC/ PTB/ PRN,16578,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SP,SP,6,1106,-1,PEDRO PAVAO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,UNIAO POR SAO PAULO,PDS/ PDC/ PTB/ PRN,36977,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SP,SP,6,1110,-1,EDEVALDO ALVES DA SILVA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,UNIAO POR SAO PAULO,PDS/ PDC/ PTB/ PRN,64648,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SP,SP,6,1111,-1,ARNOLD FIORAVANTE,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,UNIAO POR SAO PAULO,PDS/ PDC/ PTB/ PRN,14046,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SP,SP,6,1112,-1,MIGUEL COLASUONNO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,UNIAO POR SAO PAULO,PDS/ PDC/ PTB/ PRN,19435,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SP,SP,6,1113,-1,OSVALDO MARQUES CERA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,UNIAO POR SAO PAULO,PDS/ PDC/ PTB/ PRN,6365,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SP,SP,6,1114,-1,MIGUEL ASSAD MACOOL FILHO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,UNIAO POR SAO PAULO,PDS/ PDC/ PTB/ PRN,13959,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SP,SP,6,1116,-1,HEITOR FRANCO DE OLIVEIRA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,UNIAO POR SAO PAULO,PDS/ PDC/ PTB/ PRN,28593,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SP,SP,6,1120,-1,MARIO SAAD,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,UNIAO POR SAO PAULO,PDS/ PDC/ PTB/ PRN,3537,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SP,SP,6,1122,-1,FABIO DE SALLES MEIRELLES,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,UNIAO POR SAO PAULO,PDS/ PDC/ PTB/ PRN,26916,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SP,SP,6,1128,-1,BERNARDO JAKENUCH,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,UNIAO POR SAO PAULO,PDS/ PDC/ PTB/ PRN,612,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SP,SP,6,1133,-1,GILBERTO ALEXANDRE FORMICI,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,UNIAO POR SAO PAULO,PDS/ PDC/ PTB/ PRN,16784,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SP,SP,6,1134,-1,JOAO MARCOS MONTEIRO FLAQUER,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,UNIAO POR SAO PAULO,PDS/ PDC/ PTB/ PRN,1676,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SP,SP,6,1135,-1,JOAO BATISTA FERREIRA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,UNIAO POR SAO PAULO,PDS/ PDC/ PTB/ PRN,2014,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SP,SP,6,1137,-1,ELIO MACCHIONE,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,UNIAO POR SAO PAULO,PDS/ PDC/ PTB/ PRN,660,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SP,SP,6,1140,-1,CHAFIC WADY FARHAT,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,UNIAO POR SAO PAULO,PDS/ PDC/ PTB/ PRN,25609,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SP,SP,6,1144,-1,MARCELINO ROMANO MACHADO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,UNIAO POR SAO PAULO,PDS/ PDC/ PTB/ PRN,57903,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SP,SP,6,1145,-1,RUBENS JOSE RODRIGUES DOS SANTOS,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,UNIAO POR SAO PAULO,PDS/ PDC/ PTB/ PRN,1369,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SP,SP,6,1148,-1,JOAO BATISTA SERRONI DE OLIVA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,UNIAO POR SAO PAULO,PDS/ PDC/ PTB/ PRN,2878,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SP,SP,6,1151,-1,ALVARO JOAO BIANCHIM,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,UNIAO POR SAO PAULO,PDS/ PDC/ PTB/ PRN,7625,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SP,SP,6,1152,-1,EDGAR MARTINS,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,UNIAO POR SAO PAULO,PDS/ PDC/ PTB/ PRN,2865,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SP,SP,6,1155,-1,JOSE EDUARDO FERREIRA NETTO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,UNIAO POR SAO PAULO,PDS/ PDC/ PTB/ PRN,21730,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SP,SP,6,1161,-1,ANTONIO HENRIQUE BITTENCOURT DA CUNHA BUENO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,1,ELEITO,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,UNIAO POR SAO PAULO,PDS/ PDC/ PTB/ PRN,76644,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SP,SP,6,1162,-1,ROGER LIN,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,UNIAO POR SAO PAULO,PDS/ PDC/ PTB/ PRN,7873,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SP,SP,6,1163,-1,JOAQUIM JULIO GERMANO SIGAUD,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,UNIAO POR SAO PAULO,PDS/ PDC/ PTB/ PRN,414,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SP,SP,6,1165,-1,JOAO BERNADINO DOS SANTOS,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,UNIAO POR SAO PAULO,PDS/ PDC/ PTB/ PRN,629,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SP,SP,6,1166,-1,RENATO CORDEIRO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,UNIAO POR SAO PAULO,PDS/ PDC/ PTB/ PRN,19629,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SP,SP,6,1168,-1,RAMAYANA IRAPURU CARNEIRO,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,UNIAO POR SAO PAULO,PDS/ PDC/ PTB/ PRN,1108,4.0,FEMININO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SP,SP,6,1169,-1,HELIO CORREA DA SILVA,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,UNIAO POR SAO PAULO,PDS/ PDC/ PTB/ PRN,2711,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,SP,SP,6,1174,-1,AMADEU RIGUETTI PELEGRINI,,DEPUTADO FEDERAL,-1,,2,DEFERIDO,2,SUPLENTE,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,UNIAO POR SAO PAULO,PDS/ PDC/ PTB/ PRN,5278,2.0,MASCULINO
