DT_GERACAO,HH_GERACAO,ANO_ELEICAO,NR_TURNO,DS_ELEICAO,SG_UF,SG_UE,CODIGO_CARGO,NUM_CANDIDATO,SQ_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_CARGO,COD_SIT_CAND_SUPERIOR,DESC_SIT_CAND_SUPERIOR,CODIGO_SIT_CANDIDATO,DESC_SIT_CANDIDATO,CODIGO_SIT_CAND_TOT,DESC_SIT_CAND_TOT,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,SEQUENCIAL_LEGENDA,NOME_COLIGACAO,COMPOSICAO_LEGENDA,TOTAL_VOTOS,CD_GENERO,DS_GENERO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,TO,TO,3,11.0,-1,ARI RIBEIRO VALADAO,,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,,PDS,33306,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,TO,TO,3,13.0,-1,CELIO ALVES MOURA,,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,13,PT,PARTIDO DOS TRABALHADORES,-1,,PT,9627,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,TO,TO,3,15.0,-1,MOISES AVELINO,,GOVERNADOR,-1,,2,DEFERIDO,3,2o TURNO,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,PMDB / PDT / PSDB / PRN / PCdoB,155652,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,TO,TO,3,17.0,-1,MOISES ABRAAO NETO,,GOVERNADOR,-1,,2,DEFERIDO,3,2o TURNO,17,PDC,PARTIDO DEMOCRATA CRISTAO,-1,,PDC / PL / PFL / PST / PTR / PMN / PSC,118286,2.0,MASCULINO
24/4/2014,19:52:11,1990,2,ELEICOES 1990,TO,TO,3,15.0,-1,MOISES AVELINO,,GOVERNADOR,-1,,2,DEFERIDO,1,ELEITO,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,PMDB / PDT / PSDB / PRN / PCdoB,175166,2.0,MASCULINO
24/4/2014,19:52:11,1990,2,ELEICOES 1990,TO,TO,3,17.0,-1,MOISES ABRAAO NETO,,GOVERNADOR,-1,,2,DEFERIDO,4,NAO ELEITO,17,PDC,PARTIDO DEMOCRATA CRISTAO,-1,,PDC / PL / PFL / PST / PTR / PMN / PSC,137983,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,TO,TO,5,,-1,ANTONIO CARLOS MONTANDON,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,13,PT,PARTIDO DOS TRABALHADORES,-1,,PT,11021,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,TO,TO,5,,-1,AUROLINO JOSE DOS SANTOS NINHA,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,-1,,PMDB / PDT / PSDB / PRN / PCdoB,101459,,FEMININO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,TO,TO,5,,-1,JOAO BATISTA DE CASTRO NETO,,SENADOR,-1,,2,DEFERIDO,4,NAO ELEITO,11,PDS,PARTIDO DEMOCRATICO SOCIAL,-1,,PDS,30199,2.0,MASCULINO
24/4/2014,19:52:11,1990,1,ELEICOES 1990,TO,TO,5,,-1,JOAO DA ROCHA RIBEIRO DIAS,,SENADOR,-1,,2,DEFERIDO,1,ELEITO,17,PDC,PARTIDO DEMOCRATA CRISTAO,-1,,PDC / PL / PFL / PST / PTR / PMN / PSC,115348,2.0,MASCULINO
