DT_GERACAO,HH_GERACAO,ANO_ELEICAO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,CD_ELEICAO,DS_ELEICAO,DT_ELEICAO,SG_UF,SG_UE,NM_UE,SQ_CANDIDATO,NR_ORDEM_CANDIDATO,CD_TIPO_BEM_CANDIDATO,DS_TIPO_BEM_CANDIDATO,DS_BEM_CANDIDATO,VR_BEM_CANDIDATO,NM_CANDIDATO
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,DF,DF,DISTRITO FEDERAL,70000600723,1,21,"Veiculo automotor terrestre: caminhao, automovel, moto, etc.",NULO,"11338,00",PAULA FRANCINETE ALVES
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,DF,DF,DISTRITO FEDERAL,70000600723,2,41,Caderneta de poupanca,NULO,"3008,00",PAULA FRANCINETE ALVES
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,DF,DF,DISTRITO FEDERAL,70000600723,3,61,Deposito bancario em conta corrente no Pais,NULO,"702,13",PAULA FRANCINETE ALVES
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,DF,DF,DISTRITO FEDERAL,70000600724,1,21,"Veiculo automotor terrestre: caminhao, automovel, moto, etc.",NULO,"25000,00",TÁCIO ROGÉRIO ALLAN PONTES
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,DF,DF,DISTRITO FEDERAL,70000600726,1,12,Casa,NULO,"250000,00",SIMONE PEREIRA MAGALHÃES
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,DF,DF,DISTRITO FEDERAL,70000600727,1,21,"Veiculo automotor terrestre: caminhao, automovel, moto, etc.",NULO,"75000,00",PAULO WANDERSON MOREIRA MARTINS
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,DF,DF,DISTRITO FEDERAL,70000600727,2,61,Deposito bancario em conta corrente no Pais,NULO,"2150,00",PAULO WANDERSON MOREIRA MARTINS
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,DF,DF,DISTRITO FEDERAL,70000600727,3,41,Caderneta de poupanca,NULO,"6200,00",PAULO WANDERSON MOREIRA MARTINS
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,DF,DF,DISTRITO FEDERAL,70000600728,1,13,Terreno,NULO,"50000,00",NERY MOREIRA DA SILVA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,DF,DF,DISTRITO FEDERAL,70000600728,2,12,Casa,NULO,"23672,00",NERY MOREIRA DA SILVA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,DF,DF,DISTRITO FEDERAL,70000600728,3,21,"Veiculo automotor terrestre: caminhao, automovel, moto, etc.",NULO,"26000,00",NERY MOREIRA DA SILVA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,DF,DF,DISTRITO FEDERAL,70000600728,4,63,Dinheiro em especie - moeda nacional,NULO,"80000,00",NERY MOREIRA DA SILVA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,DF,DF,DISTRITO FEDERAL,70000600728,5,39,Outras participacoes societarias,NULO,"19999,00",NERY MOREIRA DA SILVA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,DF,DF,DISTRITO FEDERAL,70000600729,1,21,"Veiculo automotor terrestre: caminhao, automovel, moto, etc.",NULO,"130000,00",MAURO CEZAR LIMA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,DF,DF,DISTRITO FEDERAL,70000600729,2,13,Terreno,NULO,"9800,00",MAURO CEZAR LIMA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,DF,DF,DISTRITO FEDERAL,70000600729,3,13,Terreno,NULO,"42027,00",MAURO CEZAR LIMA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,DF,DF,DISTRITO FEDERAL,70000600729,4,15,Sala ou conjunto,NULO,"99149,00",MAURO CEZAR LIMA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,DF,DF,DISTRITO FEDERAL,70000600729,5,15,Sala ou conjunto,NULO,"644305,00",MAURO CEZAR LIMA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,DF,DF,DISTRITO FEDERAL,70000600729,6,12,Casa,NULO,"1163209,00",MAURO CEZAR LIMA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,DF,DF,DISTRITO FEDERAL,70000600729,7,11,Apartamento,NULO,"183285,00",MAURO CEZAR LIMA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,DF,DF,DISTRITO FEDERAL,70000600729,8,11,Apartamento,NULO,"20703,00",MAURO CEZAR LIMA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,DF,DF,DISTRITO FEDERAL,70000600729,9,13,Terreno,NULO,"40000,00",MAURO CEZAR LIMA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,DF,DF,DISTRITO FEDERAL,70000600729,10,13,Terreno,NULO,"40000,00",MAURO CEZAR LIMA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,DF,DF,DISTRITO FEDERAL,70000600729,11,12,Casa,NULO,"350000,00",MAURO CEZAR LIMA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,DF,DF,DISTRITO FEDERAL,70000600730,1,13,Terreno,NULO,"80000,00",ALFREDO CARNEIRO DOS SANTOS JUNIOR
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,DF,DF,DISTRITO FEDERAL,70000600730,2,12,Casa,NULO,"400000,00",ALFREDO CARNEIRO DOS SANTOS JUNIOR
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,DF,DF,DISTRITO FEDERAL,70000600731,1,21,"Veiculo automotor terrestre: caminhao, automovel, moto, etc.",NULO,"11000,00",JOSE CORREIA DE BRITO
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,DF,DF,DISTRITO FEDERAL,70000600732,1,21,"Veiculo automotor terrestre: caminhao, automovel, moto, etc.",NULO,"40000,00",VALERIA MARIA DE SANTANA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,DF,DF,DISTRITO FEDERAL,70000600734,1,21,"Veiculo automotor terrestre: caminhao, automovel, moto, etc.",NULO,"41000,00",JOSE BOLIVAR DA ROCHA CRUZ LEITE
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,DF,DF,DISTRITO FEDERAL,70000600734,2,12,Casa,NULO,"183500,00",JOSE BOLIVAR DA ROCHA CRUZ LEITE
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,DF,DF,DISTRITO FEDERAL,70000600734,3,21,"Veiculo automotor terrestre: caminhao, automovel, moto, etc.",NULO,"67500,00",JOSE BOLIVAR DA ROCHA CRUZ LEITE
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,DF,DF,DISTRITO FEDERAL,70000600735,1,11,Apartamento,NULO,"190000,00",SEVERINO DE SOUSA OLIVEIRA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,DF,DF,DISTRITO FEDERAL,70000600735,2,11,Apartamento,NULO,"2000000,00",SEVERINO DE SOUSA OLIVEIRA
10/11/2021,14:37:53,2018,2,Eleicao Ordinaria,297,Eleicoes Gerais Estaduais 2018,2018-10-07,DF,DF,DISTRITO FEDERAL,70000600735,3,12,Casa,NULO,"100000,00",SEVERINO DE SOUSA OLIVEIRA
