DT_GERACAO,HH_GERACAO,ANO_ELEICAO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,CD_ELEICAO,DS_ELEICAO,DT_ELEICAO,SG_UF,SG_UE,NM_UE,SQ_CANDIDATO,NR_ORDEM_CANDIDATO,CD_TIPO_BEM_CANDIDATO,DS_TIPO_BEM_CANDIDATO,DS_BEM_CANDIDATO,VR_BEM_CANDIDATO,NM_CANDIDATO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEICOES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,AL,AL,ALAGOAS,10088,1,99,Outros bens e direitos,Nenhum bem a declarar,"0,00",EDERALDO DE ALCANTARA
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEICOES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,AL,AL,ALAGOAS,10106,1,99,Outros bens e direitos,Nenhum bem a declarar,"0,00",JAILSON VICENTE DA SILVA
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEICOES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,AL,AL,ALAGOAS,10119,1,99,Outros bens e direitos,DUAS CASAS RESIDENCIAL EM VICOSA/AL,"130000,00",JOSÉ MARIA CERQUEIRA TENÓRIO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEICOES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,AL,AL,ALAGOAS,10256,1,99,Outros bens e direitos,NOVO HORIZONTE,"60000,00",RITA COIMBRA CERQUEIRA TENÓRIO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEICOES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,AL,AL,ALAGOAS,10256,2,99,Outros bens e direitos,VEICULO HONDA FIT,"50500,00",RITA COIMBRA CERQUEIRA TENÓRIO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEICOES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,AL,AL,ALAGOAS,10265,1,99,Outros bens e direitos,1 APARTAMENTO,"353926,13",TEOTONIO BRANDÃO VILELA FILHO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEICOES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,AL,AL,ALAGOAS,10265,2,99,Outros bens e direitos,1 APT.,"698866,00",TEOTONIO BRANDÃO VILELA FILHO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEICOES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,AL,AL,ALAGOAS,10265,3,99,Outros bens e direitos,1 CASA B. SAO MIGUEL,"46477,02",TEOTONIO BRANDÃO VILELA FILHO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEICOES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,AL,AL,ALAGOAS,10265,4,99,Outros bens e direitos,1 GLEBA TERRA,"11736,00",TEOTONIO BRANDÃO VILELA FILHO
27/08/2021,15:30:26,2006,0,Ordinaria,2006001,ELEICOES GERAIS 2006 PRIMEIRO TURNO,2006-10-01,AL,AL,ALAGOAS,10265,5,99,Outros bens e direitos,1 LOTE B. SAO MIGUEL,"2950,60",TEOTONIO BRANDÃO VILELA FILHO
